t,x,y,z
0.021279,0.0090654,0.0133222,9.39584
0.0237889,0.00315983,0.00462687,9.08009
0.0263014,0.00278035,0.00207325,8.64755
0.0288168,0.000851872,0.000558138,8.10832
0.0313352,9.59157e-05,-0.000827353,7.48098
0.0338567,0.000280219,-0.00189767,6.84225
0.036381,-0.000507316,-0.00322777,6.23341
0.0389079,-0.00113492,-0.0045905,5.6689
0.0414372,-0.000666732,-0.00416294,5.15837
0.0439683,-0.000614072,-0.00321248,4.66237
0.0465007,-0.000338666,-0.000999804,4.15854
0.049034,0.00104008,0.00137102,3.6767
0.0515677,0.000656707,0.00136921,3.24411
0.0540972,7.39413e-05,0.00137001,2.87746
0.056618,8.32535e-06,0.00346258,2.57994
0.0591388,-0.000268635,0.00342488,2.31327
0.0616597,0.000778472,0.0019241,2.06006
0.0641805,0.00170509,0.00113811,1.82161
0.0667013,0.00100069,0.000740659,1.59887
0.0692222,0.000651813,9.25636e-05,1.37346
0.0717431,0.00142124,-0.00148449,1.14805
0.0742641,0.0012383,-0.00198079,0.958875
0.0767852,0.000139426,-0.00174361,0.81884
0.0793063,1.56985e-05,-0.0020132,0.726596
0.0818274,-0.000806951,-0.00204689,0.659736
0.0843485,-0.000630004,-0.00264953,0.598416
0.0868696,-7.09347e-05,-0.00152797,0.531429
0.0893907,0.000261584,-0.00049017,0.467916
0.0919119,0.00110773,0.000237953,0.422311
0.0944331,-0.000683995,0.00182503,0.394668
0.0969544,-0.00115531,0.00142494,0.372329
0.0994756,-0.00120837,0.00137494,0.337743
0.101997,-0.00121435,0.000770263,0.307152
0.104518,-0.000945447,9.62634e-05,0.282213
0.107039,-0.00091517,0.000311245,0.2411
0.109561,0.000975249,-0.000260317,0.192038
0.112082,0.00118813,-0.000930205,0.150767
0.114603,-0.000405397,-0.000415482,0.120621
0.117124,-0.00166308,0.000546505,0.104549
0.119645,-0.000995972,0.000666728,0.115743
0.122165,0.000157432,-0.00171196,0.138345
0.124686,0.000287299,-0.00171003,0.137159
0.127207,-0.000237225,-0.000512925,0.131876
0.129728,-0.000296283,-0.000363318,0.139907
0.132249,-0.000572506,0.00115145,0.140658
0.13477,-0.000334033,0.00163998,0.13497
0.13729,-0.000576755,0.0011026,0.127823
0.139811,-0.0014128,0.000137797,0.117268
0.142332,-0.000967792,0.000316436,0.107934
0.144853,-0.000648113,0.000637976,0.0975634
0.147374,0.000196599,7.97309e-05,0.0778065
0.149895,0.000830855,0.000309179,0.0476323
0.152415,0.000632695,0.000337855,0.0230665
0.154936,0.000879956,-0.000556207,0.00769457
0.157457,-0.000170492,-0.000967147,-0.00166437
0.159978,-0.000558336,-0.00042008,-0.00358896
0.162499,0.00128498,0.000845136,0.00317778
0.16502,0.00122296,0.000404832,-0.00354139
0.167541,0.00202469,0.000948229,-0.00948314
0.170062,0.00184539,0.00161456,-0.0168546
0.172583,-0.000600931,-9.74326e-05,-0.0318418
0.175104,-0.00114594,-0.00120902,-0.0387435
0.177626,0.000140542,0.000148112,-0.0469637
0.180147,0.000285391,0.00211297,-0.0457642
0.182669,-0.000237434,0.000862485,-0.0489378
0.18519,0.000781968,-0.000789837,-0.0559785
0.187712,0.0014359,-9.87097e-05,-0.0516188
0.190233,0.00123995,-0.000909971,-0.0456465
0.192755,-0.000129961,0.000185492,-0.0530682
0.195277,-0.00109294,0.000920836,-0.0511626
0.197799,0.000146554,-0.000782693,-0.0304205
0.20032,1.65011e-05,-9.78169e-05,-0.00572787
0.20284,-0.000806861,0.000586204,0.0118723
0.205361,0.000717871,-0.000225954,0.0189674
0.207882,-0.000188745,0.000270977,0.0167729
0.210403,-0.00109954,0.00093151,0.0169494
0.212923,-0.000123802,0.000116415,0.0234571
0.215444,-0.000553085,0.000612978,0.0207431
0.217965,-0.000331848,0.00187189,0.028929
0.220486,0.00131049,0.000832363,0.0382849
0.223006,0.000686699,-0.000494405,0.0338553
0.225527,-0.000461828,0.000237426,0.0299381
0.228048,0.000487147,-0.000269543,0.0264743
0.230569,-0.000753869,-0.000332901,0.0276455
