"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.007673200E-2,3.531447425E-2,3.010708690E-1,9.780912399E0,9.785608726E0
2.258043000E-2,4.010287672E-2,2.819172442E-1,9.795277596E0,9.799415735E0
2.508683700E-2,4.010287672E-2,2.819172442E-1,9.800065994E0,9.804202113E0
2.759636800E-2,4.489128292E-2,3.106476665E-1,9.800065994E0,9.805091060E0
3.010933700E-2,4.489128292E-2,3.106476665E-1,9.776124001E0,9.781161366E0
3.262584700E-2,5.925649032E-2,2.914940715E-1,9.795277596E0,9.799793023E0
3.514589900E-2,4.489128292E-2,2.914940715E-1,9.800065994E0,9.804502920E0
3.766933700E-2,4.489128292E-2,2.675520480E-1,9.804854393E0,9.808606883E0
4.019584700E-2,1.616086066E-2,2.531868219E-1,9.814431190E0,9.817709730E0
4.272506600E-2,3.052607179E-2,2.627636492E-1,9.819219589E0,9.822782188E0
4.525647200E-2,3.052607179E-2,2.388216257E-1,9.804854393E0,9.807810014E0
4.778949300E-2,2.573766746E-2,2.388216257E-1,9.804854393E0,9.807796280E0
5.032350300E-2,2.573766746E-2,2.483984232E-1,9.814431190E0,9.817607845E0
5.285787800E-2,1.137245819E-2,2.483984232E-1,9.795277596E0,9.798433257E0
5.538652400E-2,3.531447425E-2,2.579752207E-1,9.771335602E0,9.774804232E0
5.790642000E-2,4.489128292E-2,2.483984232E-1,9.776124001E0,9.779382265E0
6.042631600E-2,3.052607179E-2,2.436100245E-1,9.785700798E0,9.788780199E0
6.294610700E-2,2.094926499E-2,2.340332121E-1,9.795277596E0,9.798095406E0
6.546589900E-2,3.052607179E-2,2.340332121E-1,9.795277596E0,9.798120563E0
6.798569100E-2,2.573766746E-2,2.244564146E-1,9.790489197E0,9.793095620E0
7.050491000E-2,3.052607179E-2,2.196680009E-1,9.780912399E0,9.783426457E0
7.302412800E-2,2.094926499E-2,2.244564146E-1,9.771335602E0,9.773935696E0
7.554334700E-2,6.584054790E-3,2.436100245E-1,9.766547203E0,9.769587170E0
7.806256600E-2,2.094926499E-2,2.196680009E-1,9.780912399E0,9.783401263E0
8.058178500E-2,3.531447425E-2,2.148796022E-1,9.785700798E0,9.788123439E0
8.310100300E-2,4.010287672E-2,2.292448133E-1,9.795277596E0,9.798041876E0
8.562022200E-2,2.573766746E-2,2.292448133E-1,9.785700798E0,9.788419470E0
8.813944100E-2,1.616086066E-2,2.148796022E-1,9.785700798E0,9.788073075E0
9.065866000E-2,1.616086066E-2,2.196680009E-1,9.790489197E0,9.792966553E0
9.317787800E-2,3.052607179E-2,2.244564146E-1,9.790489197E0,9.793109375E0
9.569714900E-2,1.616086066E-2,2.436100245E-1,9.800065994E0,9.803106676E0
9.821647200E-2,2.573766746E-2,2.340332121E-1,9.785700798E0,9.788532785E0
1.007358470E-1,1.616086066E-2,2.340332121E-1,9.795277596E0,9.798086338E0
1.032552740E-1,3.052607179E-2,2.388216257E-1,9.790489197E0,9.793449153E0
1.057747530E-1,3.052607179E-2,2.579752207E-1,9.780912399E0,9.784361523E0
1.082942320E-1,1.616086066E-2,2.723404467E-1,9.790489197E0,9.794289622E0
1.108137120E-1,3.052607179E-2,2.819172442E-1,9.790489197E0,9.794594830E0
1.133331910E-1,4.010287672E-2,2.771288455E-1,9.790489197E0,9.794492705E0
1.158526700E-1,3.531447425E-2,2.675520480E-1,9.776124001E0,9.779848244E0
1.183721490E-1,3.531447425E-2,2.819172442E-1,9.761758804E0,9.765892658E0
1.208916280E-1,3.052607179E-2,2.627636492E-1,9.785700798E0,9.789275596E0
1.234109510E-1,4.010287672E-2,2.531868219E-1,9.776124001E0,9.779484254E0
1.259302740E-1,3.052607179E-2,2.723404467E-1,9.776124001E0,9.779964296E0
1.284495970E-1,3.531447425E-2,2.723404467E-1,9.776124001E0,9.779980414E0
1.309689200E-1,3.531447425E-2,2.771288455E-1,9.780912399E0,9.784901373E0
1.334882430E-1,4.010287672E-2,2.819172442E-1,9.776124001E0,9.780270244E0
1.360075660E-1,4.010287672E-2,2.819172442E-1,9.790489197E0,9.794629359E0
1.385268890E-1,3.052607179E-2,2.723404467E-1,9.795277596E0,9.799110385E0
1.410462120E-1,1.616086066E-2,2.771288455E-1,9.804854393E0,9.808783372E0
1.435655350E-1,2.094926499E-2,2.914940715E-1,9.790489197E0,9.794849993E0
1.460848570E-1,2.573766746E-2,2.867056429E-1,9.795277596E0,9.799506402E0
1.486041800E-1,3.052607179E-2,3.010708690E-1,9.771335602E0,9.776020405E0
1.511235030E-1,3.052607179E-2,3.010708690E-1,9.785700798E0,9.790378727E0
1.536428780E-1,3.052607179E-2,3.010708690E-1,9.790489197E0,9.795164839E0
1.561623050E-1,3.052607179E-2,2.914940715E-1,9.804854393E0,9.809233930E0
1.586817850E-1,1.616086066E-2,3.010708690E-1,9.795277596E0,9.799916735E0
1.612013680E-1,1.616086066E-2,2.867056429E-1,9.790489197E0,9.794699588E0
1.637210550E-1,3.052607179E-2,2.867056429E-1,9.800065994E0,9.804306475E0
1.662408470E-1,4.967968538E-2,2.819172442E-1,9.800065994E0,9.804245963E0
1.687607430E-1,2.094926499E-2,2.914940715E-1,9.785700798E0,9.790063727E0
1.712807430E-1,2.573766746E-2,2.675520480E-1,9.809642792E0,9.813324525E0
1.738007950E-1,3.531447425E-2,2.723404467E-1,9.800065994E0,9.803912990E0
1.763208990E-1,3.052607179E-2,2.771288455E-1,9.795277596E0,9.799244635E0
1.788410550E-1,3.052607179E-2,2.723404467E-1,9.804854393E0,9.808683440E0
1.813612640E-1,3.531447425E-2,2.675520480E-1,9.814431190E0,9.818140904E0
1.838814720E-1,4.010287672E-2,2.675520480E-1,9.819219589E0,9.822945876E0
1.864016800E-1,3.052607179E-2,2.531868219E-1,9.785700798E0,9.789023216E0
1.889218370E-1,4.010287672E-2,2.627636492E-1,9.790489197E0,9.794096778E0
1.914413680E-1,2.573766746E-2,2.819172442E-1,9.780912399E0,9.785008284E0
1.939608990E-1,2.094926499E-2,2.675520480E-1,9.814431190E0,9.818099743E0
1.964804300E-1,2.094926499E-2,2.340332121E-1,9.824007988E0,9.826817560E0
1.989999620E-1,1.616086066E-2,2.292448133E-1,9.804854393E0,9.807547299E0
2.015194930E-1,1.137245819E-2,2.388216257E-1,9.809642792E0,9.812556079E0
2.040390240E-1,2.573766746E-2,2.388216257E-1,9.795277596E0,9.798222358E0
2.065585550E-1,3.052607179E-2,2.196680009E-1,9.804854393E0,9.807362313E0
