t,x,y,z
0.0803299,-0.0700248,-0.028194,0.142486
0.0828402,-0.000853656,-7.08644e-05,0.0121677
0.0853505,-7.6423e-05,2.09316e-06,0.00110852
0.0878608,5.86575e-05,-1.63761e-06,0.000149541
0.0903712,-7.40426e-05,4.61875e-07,-6.31515e-05
0.0928815,9.98862e-06,6.6277e-06,0.000609055
0.0953918,-6.91815e-05,4.03762e-06,0.000427346
0.0979021,-2.19445e-06,6.35033e-07,0.000662412
0.100412,-5.44763e-05,-7.42022e-08,0.000357812
0.102923,1.03467e-05,4.73052e-07,0.000266146
0.105433,-2.65861e-05,-7.32078e-07,-2.00321e-05
0.107943,4.66891e-05,-3.37196e-06,-0.000168516
0.110454,6.63234e-06,-3.45896e-06,-0.000366191
0.112964,4.64909e-05,-3.80249e-06,-0.000444127
0.115474,5.22389e-06,-2.2548e-06,-0.000522837
0.117985,3.40877e-05,2.01603e-06,-0.000487225
0.120495,-5.84978e-06,1.84998e-06,-0.000402425
0.123005,1.20846e-05,4.54881e-07,6.30173e-05
0.125515,-2.57284e-05,4.89649e-07,6.24553e-05
0.128026,-2.11152e-05,2.34839e-06,5.11078e-06
0.130536,-4.96024e-05,9.50229e-07,-4.18777e-05
0.133046,-4.85831e-05,-3.46043e-06,0.000136767
0.135557,-4.47011e-05,-2.45911e-06,8.96964e-05
0.138067,5.14409e-05,1.95828e-06,0.000117513
0.140577,2.97357e-05,1.69166e-06,1.72665e-05
0.143088,1.7491e-05,6.49529e-07,-5.56868e-05
0.145598,1.05806e-06,-8.12448e-07,-0.000118884
0.148108,4.30031e-05,-5.67067e-06,-9.55469e-05
0.150619,2.32402e-05,-3.41548e-06,-6.94376e-05
0.153129,3.48754e-05,3.5142e-06,0.000177366
0.155639,1.08582e-05,4.12632e-06,0.000151147
0.15815,1.17406e-05,4.24397e-06,0.000123071
0.16066,-1.71737e-06,3.76913e-06,5.25655e-05
0.16317,2.98214e-05,4.35845e-06,0.000112326
0.16568,1.21732e-05,2.55029e-06,-3.28057e-06
0.168191,2.20316e-05,-1.53489e-06,-0.000216359
0.170701,-3.39803e-06,-1.8884e-06,-0.000250829
0.173211,-2.20688e-05,-2.2189e-06,-5.4155e-05
0.175722,-2.81068e-05,-7.19091e-07,-8.65936e-05
0.178232,1.53373e-05,3.63752e-06,-0.000163586
0.180742,3.13653e-06,3.5744e-06,-0.000252045
0.183253,1.00494e-05,4.50012e-06,-0.000421879
0.185763,-1.06791e-05,1.34166e-06,-0.000358074
0.188273,-2.21043e-05,-7.3917e-06,-3.29303e-05
0.190784,-3.33761e-05,-6.25575e-06,4.9903e-05
0.193294,-2.72939e-05,-2.42176e-07,0.000160113
0.195804,-2.09937e-05,-1.21174e-06,0.000157977
0.198314,3.49149e-05,-7.82214e-06,0.000240569
0.200825,2.40784e-05,-5.06833e-06,0.000174502
0.203335,1.99563e-05,3.21979e-06,8.69076e-05
0.205845,6.1332e-06,4.29478e-06,2.65514e-05
0.208356,1.84625e-05,6.44083e-06,5.67543e-05
0.210866,7.94682e-07,3.75293e-06,5.7277e-06
0.213376,-1.36787e-05,-3.21384e-06,-5.41881e-05
0.215887,-1.92748e-05,-3.46694e-06,-7.95796e-05
0.218397,2.67944e-06,-2.03194e-06,-2.18559e-05
0.220907,2.62556e-06,-1.95413e-06,-2.42869e-05
0.223418,3.72625e-05,-4.27568e-06,5.10506e-05
0.225928,1.75947e-05,-1.36741e-06,-1.01801e-05
0.228438,-1.22218e-05,7.47487e-06,-0.000159334
0.230949,-1.98209e-05,6.52119e-06,-0.000171642
0.233459,3.13825e-06,2.62129e-06,-3.77224e-05
0.235969,-3.81617e-06,1.34616e-06,-2.85791e-05
0.238479,-7.52545e-06,2.70648e-07,3.71394e-07
0.24099,-1.56121e-06,-4.29994e-07,-4.98382e-05
0.2435,5.53213e-05,-1.9353e-06,-0.000169158
0.24601,3.72764e-05,-1.50801e-06,-0.000152981
0.248521,1.06017e-05,-1.98213e-07,1.39606e-05
0.251031,-1.01409e-05,3.4486e-07,4.93121e-05
0.253541,-2.61749e-05,2.0653e-06,0.000111352
0.256052,-2.98238e-05,1.09767e-06,9.87731e-05
0.258562,-8.83125e-06,-1.7123e-06,0.00012432
