t,x,y,z
0.025,0.00325136,0.00476164,9.08498
0.02625,0.00297691,0.00339595,8.87159
0.0275,0.00278811,0.00212549,8.6564
0.02875,0.00186142,0.00135129,8.3906
0.03,0.000903085,0.000598374,8.12264
0.03125,0.000496707,-9.27963e-05,7.81358
0.0325,0.00012149,-0.00078048,7.5022
0.03375,0.000181054,-0.00132178,7.18592
0.035,0.00027242,-0.00185238,6.86928
0.03625,-7.64695e-05,-0.0025001,6.5665
0.0375,-0.000466446,-0.00315874,6.26501
0.03875,-0.000785241,-0.00383123,5.98343
0.04,-0.0010957,-0.00450535,5.70417
0.04125,-0.000932766,-0.00440589,5.44846
0.0425,-0.000701384,-0.00419458,5.19616
0.04375,-0.00064462,-0.00376385,4.9501
0.045,-0.000618614,-0.00329445,4.70515
0.04625,-0.000501872,-0.00231104,4.45711
0.0475,-0.00036593,-0.00121885,4.20842
0.04875,0.000205202,-6.45952e-05,3.96847
0.05,0.000885513,0.00110523,3.73072
0.05125,0.000893915,0.00137033,3.51177
0.0525,0.000704778,0.00136944,3.29835
0.05375,0.000441917,0.0013695,3.10897
0.055,0.000153932,0.0013699,2.92779
0.05625,5.04416e-05,0.00211944,2.77091
0.0575,1.79043e-05,0.0031571,2.62337
0.05875,-8.858e-05,0.00344939,2.48664
0.06,-0.000225918,0.00343069,2.3544
0.06125,8.90819e-05,0.00291218,2.22677
0.0625,0.000608295,0.00216801,2.10121
0.06375,0.00108736,0.00166209,1.98057
0.065,0.00154684,0.00127234,1.86233
0.06625,0.00147609,0.0010089,1.7492
0.0675,0.0011268,0.000811815,1.63875
0.06875,0.000890155,0.000535322,1.52745
0.07,0.000717163,0.000213961,1.41568
0.07125,0.000889212,-0.000394021,1.30391
0.0725,0.00127074,-0.00117601,1.19214
0.07375,0.00136631,-0.0016335,1.09125
0.075,0.00127561,-0.00187958,0.997453
0.07625,0.000917543,-0.00191156,0.917999
0.0775,0.000372704,-0.00179396,0.848568
0.07875,0.000104346,-0.00182005,0.792686
0.08,4.29999e-05,-0.00195371,0.74695
0.08125,-0.00021066,-0.00202247,0.708199
0.0825,-0.000618542,-0.00203917,0.675049
0.08375,-0.000759744,-0.00220767,0.643377
0.085,-0.000672011,-0.00250647,0.612973
0.08625,-0.00048553,-0.0023597,0.581105
0.0875,-0.000208335,-0.00180361,0.547892
0.08875,1.22115e-05,-0.00126847,0.515548
0.09,0.000177079,-0.000753911,0.484057
0.09125,0.000466073,-0.000314204,0.456895
0.0925,0.000885588,4.67962e-05,0.434284
0.09375,0.000689789,0.000608158,0.415863
0.095,-0.000198541,0.00139502,0.402158
0.09625,-0.000789968,0.00173507,0.389645
0.0975,-0.00102363,0.00153672,0.37857
0.09875,-0.00116679,0.00141412,0.364844
0.1,-0.0011931,0.00138933,0.347697
0.10125,-0.00120961,0.00124918,0.331381
0.1025,-0.00121258,0.000949407,0.316215
0.10375,-0.0011607,0.000635784,0.302176
0.105,-0.00102737,0.000301591,0.28981
0.10625,-0.000939658,0.000137367,0.274352
0.1075,-0.000924646,0.000243962,0.253967
0.10875,-0.000569618,0.000206768,0.232132
0.11,0.000367347,-7.65197e-05,0.207815
0.11125,0.00101232,-0.000376969,0.184851
0.1125,0.00111787,-0.000709123,0.164388
0.11375,0.000923912,-0.00084486,0.145769
0.115,0.000133785,-0.000589643,0.130821
0.11625,-0.000603453,-0.000263991,0.11809
0.1175,-0.00122706,0.000212996,0.110121
0.11875,-0.00156358,0.000564436,0.106219
0.12,-0.00123281,0.000624047,0.111769
0.12125,-0.000833489,0.000331635,0.118927
0.1225,-0.000261364,-0.00084827,0.130138
0.12375,0.000174689,-0.0017117,0.138187
0.125,0.000239082,-0.00171075,0.137599
0.12625,0.000221968,-0.00156093,0.136501
0.1275,-3.81098e-05,-0.00096736,0.133881
0.12875,-0.000244089,-0.000495537,0.132809
0.13,-0.000273372,-0.000421357,0.136791
0.13125,-0.000326086,-0.000199884,0.139988
0.1325,-0.000463047,0.000551191,0.14036
0.13375,-0.000548763,0.00120009,0.140092
0.135,-0.000430519,0.00144232,0.137271
0.13625,-0.000356186,0.00159093,0.134318
0.1375,-0.000476584,0.00132438,0.130773
0.13875,-0.000646398,0.00102223,0.126944
0.14,-0.00106094,0.000543849,0.12171
0.14125,-0.00137944,0.00015119,0.116568
0.1425,-0.00115879,0.000239765,0.11194
0.14375,-0.000946489,0.000337863,0.107243
0.145,-0.00078798,0.000497294,0.102101
0.14625,-0.000598858,0.000605425,0.0964114
0.1475,-0.00018002,0.000328627,0.0866152
0.14875,0.000228299,9.11988e-05,0.0762984
0.15,0.000542786,0.000204967,0.061337
0.15125,0.000822598,0.000310374,0.0466087
0.1525,0.000724305,0.000324598,0.0344233
0.15375,0.000641032,0.00030771,0.0225482
0.155,0.000763632,-0.000135597,0.0149263
0.15625,0.000853289,-0.000566639,0.00745698
0.1575,0.00033244,-0.000770398,0.00281649
0.15875,-0.000177107,-0.000957816,-0.0016972
0.16,-0.000369414,-0.000686561,-0.00265148
0.16125,-0.00054225,-0.000409039,-0.00352991
0.1625,0.000371731,0.0002183,-0.000174722
0.16375,0.00128496,0.000844961,0.00317511
0.165,0.0012542,0.000626643,-0.000156485
0.16625,0.00122345,0.000408325,-0.00348808
0.1675,0.00161413,0.000669956,-0.00644038
0.16875,0.00201165,0.000939392,-0.00938651
0.17,0.0019387,0.00126778,-0.0130183
0.17125,0.0018498,0.00159817,-0.0166733
0.1725,0.000692582,0.000807798,-0.0239172
0.17375,-0.00052039,-4.10679e-05,-0.0313484
0.175,-0.000853222,-0.000611999,-0.0350367
0.17625,-0.00112346,-0.00116316,-0.0384588
0.1775,-0.000561361,-0.000592337,-0.0424788
0.17875,7.62689e-05,8.03092e-05,-0.046553
0.18,0.000205124,0.00102415,-0.0464289
0.18125,0.000276945,0.0019984,-0.0458341
0.1825,5.67328e-05,0.00156607,-0.0471522
0.18375,-0.000202399,0.00094628,-0.0487251
0.185,0.000199684,0.000153972,-0.0519568
0.18625,0.000705139,-0.000665307,-0.0554479
0.1875,0.00105682,-0.000499355,-0.0541461
0.18875,0.00138093,-0.000156806,-0.0519853
0.19,0.00135522,-0.00043274,-0.0491598
0.19125,0.00125806,-0.000834991,-0.0461985
0.1925,0.000687531,-0.000468224,-0.0486393
0.19375,8.55102e-06,7.47295e-05,-0.0523178
0.195,-0.000509883,0.000475606,-0.0523164
0.19625,-0.000987173,0.000840071,-0.0513719
0.1975,-0.000614737,0.000263606,-0.0431602
0.19875,-3.9632e-07,-0.000580728,-0.0328796
0.2,9.7494e-05,-0.000524336,-0.0211057
0.20125,3.30092e-05,-0.000184751,-0.0088622
0.2025,-0.000287359,0.000154619,0.000767431
0.20375,-0.000695772,0.000493915,0.00949767
0.205,-0.000256482,0.000293041,0.0144334
0.20625,0.000499534,-0.000109655,0.0179514
0.2075,0.000398164,-5.07173e-05,0.0181935
0.20875,-5.1368e-05,0.000195678,0.0171054
0.21,-0.000502339,0.000498404,0.0168337
0.21125,-0.000953943,0.000825919,0.0169212
0.2125,-0.000771584,0.000657548,0.0191367
0.21375,-0.000287587,0.000253235,0.0223647
0.215,-0.000264626,0.00027931,0.0225668
0.21625,-0.000477479,0.000525523,0.0212211
0.2175,-0.000482352,0.00101547,0.0233603
0.21875,-0.000372655,0.00163968,0.0274191
0.22,0.00017955,0.0015482,0.0318423
0.22125,0.000993879,0.00103276,0.0364813
0.2225,0.00112137,0.000430121,0.036942
0.22375,0.000811952,-0.000227998,0.0347447
0.225,0.000347745,-0.000278426,0.0326993
0.22625,-0.000221735,8.44411e-05,0.030757
0.2275,-0.000189671,9.20319e-05,0.0289447
0.22875,0.000280864,-0.000159341,0.0272272
0.23,0.000141573,-0.000287186,0.0268004
