t,x,y,z
0.0247524,-1.91246,-7.64982,-1.91245
0.027259,9.55154,1.9103,21.0134
0.0297689,-5.72355,1.90785,26.7099
0.0322822,-15.2413,7.62065,32.3877
0.0347993,-9.51201,-9.51201,15.2192
0.03732,-5.69895,1.89965,15.1972
0.0398441,-7.58825,-1.89706,7.58824
0.0423713,-1.89472,3.78943,7.57886
0.0449013,9.46344,0,-13.2488
0.0474334,3.78211,-5.67315,-20.8016
0.0499671,17.0086,-7.5594,-22.6782
0.0525019,13.2235,1.88908,-20.7798
0.0550371,7.55505,-1.88877,-15.1101
0.0575678,0,1.89219,-1.89218
0.0600876,3.80063,3.80063,1.90032
0.0626072,1.9004,1.90039,5.70118
0.0651269,-7.60159,3.80079,3.80079
0.0676466,-7.60158,-3.80079,3.80079
0.0701663,-9.50198,1.90039,17.1035
0.0726859,-7.60189,1.90047,9.50236
0.0752055,1.90047,0,-9.50236
0.0777251,0,1.90047,-1.90047
0.0802446,0,1.90048,-7.60189
0.0827643,5.70131,0,-7.60173
0.085284,1.9004,3.80079,-11.4024
0.0878037,-1.90036,1.90035,-13.3025
0.0903235,-1.90032,-3.80063,-1.90032
0.0928433,7.60112,1.90028,-1.90028
0.0953632,-7.60111,0,3.80055
0.097883,3.80055,5.70083,5.70083
0.100403,-1.90028,0,7.6011
0.102923,-1.90028,-3.80055,3.80055
0.105443,-7.60111,3.80055,7.6011
0.107962,-5.70083,3.80056,11.4017
0.110482,-9.50139,0,7.6011
0.113002,0,5.70083,-1.90028
0.115522,3.80055,-1.90028,-3.80055
0.118042,-3.80055,-11.4017,3.80055
0.120562,3.80055,3.80055,3.80055
0.123081,1.90028,-1.90028,-5.70083
0.125601,5.70083,3.80056,-13.3019
0.128121,1.90035,0,-3.80071
0.130641,-5.70154,-7.60206,0
0.13316,0,-1.90051,-5.70154
0.135679,0,1.90063,0
0.138199,0,-5.7019,7.60252
0.140718,3.80126,-3.80126,11.4038
0.143238,-1.90063,5.7019,-1.90063
0.145757,-3.80118,-1.9006,-7.60236
0.148277,7.60221,1.90056,0
0.150796,1.90051,-1.90052,0
0.153316,-1.90048,-3.80095,0
0.155835,3.80087,3.80087,-1.90043
0.158355,1.90039,-7.60158,-1.90039
0.160875,0,-1.90035,0
0.163394,1.90032,5.70095,1.90032
0.165914,-3.80055,-5.70083,1.90028
0.168434,5.70072,-3.80049,0
0.170954,-1.9002,1.90021,-1.9002
0.173474,3.80032,-3.80033,-1.90016
0.175994,-3.80024,-3.80024,-3.80024
0.178514,3.80016,1.90008,1.90008
0.181034,-3.80008,-5.70012,0
0.183555,-3.8,7.6,0
0.186075,1.89996,3.79994,1.89996
0.188595,-1.89992,1.89992,5.69977
0.191116,-3.79985,0,-1.89992
0.193636,5.69977,-1.89992,0
0.196156,1.89993,11.3995,0
0.198677,-7.5997,-1.89992,-1.89992
0.201197,5.69977,-5.69977,5.69977
0.203717,-3.79985,1.89992,-3.79984
0.206237,-3.79985,-1.89992,11.3995
0.208758,-3.80024,0,-1.90012
