"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.980590500E-2,1.795651275E-3,3.010708690E-1,9.685144424E0,9.689822982E0
2.231189500E-2,-2.992752008E-3,2.914940715E-1,9.627683640E0,9.632095827E0
2.482127000E-2,-1.256955881E-2,2.914940715E-1,9.622895241E0,9.627317363E0
2.733434300E-2,-1.256955881E-2,2.819172442E-1,9.709086418E0,9.713186624E0
2.985121800E-2,-6.045359373E-2,2.914940715E-1,9.795277596E0,9.799800335E0
3.237189500E-2,-6.524199992E-2,2.867056429E-1,9.828796387E0,9.833193533E0
3.489621800E-2,-5.087678507E-2,2.962824702E-1,9.824007988E0,9.828606447E0
3.742387400E-2,-6.045359373E-2,3.250128925E-1,9.785700798E0,9.791283273E0
3.995444700E-2,-7.481880486E-2,3.393780887E-1,9.790489197E0,9.796655248E0
4.248741600E-2,-7.003039867E-2,3.537433147E-1,9.838373184E0,9.844979711E0
4.502220800E-2,-8.439560980E-2,3.633201122E-1,9.852738380E0,9.859796028E0
4.755819700E-2,-8.439560980E-2,3.681085110E-1,9.900622368E0,9.907822655E0
5.009470800E-2,-7.960720360E-2,3.776853085E-1,9.895833969E0,9.903358695E0
5.262955100E-2,-8.439560980E-2,3.920505345E-1,9.871891975E0,9.880034282E0
5.515048900E-2,-5.087678507E-2,3.728969097E-1,9.833584785E0,9.840784028E0
5.767142600E-2,-4.608838260E-2,3.489548862E-1,9.828796387E0,9.835096952E0
6.019236400E-2,-6.524199992E-2,3.585317135E-1,9.838373184E0,9.845120031E0
6.271324900E-2,-4.608838260E-2,3.537433147E-1,9.838373184E0,9.844838515E0
6.523371800E-2,-3.651157767E-2,3.441664875E-1,9.833584785E0,9.839673440E0
6.775413500E-2,-6.045359373E-2,3.489548862E-1,9.833584785E0,9.839960055E0
7.027439500E-2,-5.087678507E-2,3.250128925E-1,9.843161583E0,9.848657359E0
7.279465500E-2,-7.003039867E-2,3.393780887E-1,9.828796387E0,9.834903159E0
7.531491600E-2,-8.918401599E-2,3.441664875E-1,9.833584785E0,9.840009862E0
7.783517600E-2,-7.003039867E-2,3.537433147E-1,9.804854393E0,9.811483489E0
8.035543700E-2,-9.397241473E-2,3.776853085E-1,9.780912399E0,9.788652837E0
8.287569700E-2,-1.179144308E-1,3.824737072E-1,9.804854393E0,9.813019903E0
8.539595800E-2,-8.918401599E-2,3.776853085E-1,9.804854393E0,9.812531256E0
8.791621800E-2,-1.035492271E-1,3.872621357E-1,9.814431190E0,9.822614418E0
9.043647800E-2,-1.179144308E-1,4.112041295E-1,9.814431190E0,9.823749398E0
9.295673900E-2,-1.179144308E-1,4.255693555E-1,9.800065994E0,9.810010529E0
9.547705100E-2,-1.131260321E-1,4.351461530E-1,9.804854393E0,9.815157632E0
9.799741600E-2,-1.227028370E-1,4.351461530E-1,9.790489197E0,9.800922756E0
1.005178330E-1,-1.035492271E-1,4.064157307E-1,9.795277596E0,9.804252106E0
1.030383010E-1,-8.918401599E-2,3.968389332E-1,9.795277596E0,9.803718585E0
1.055587700E-1,-1.035492271E-1,4.064157307E-1,9.766547203E0,9.775548090E0
1.080792390E-1,-7.960720360E-2,4.016273320E-1,9.785700798E0,9.794262705E0
1.105997080E-1,-7.003039867E-2,4.016273320E-1,9.756970406E0,9.765484129E0
1.131201760E-1,-7.481880486E-2,4.016273320E-1,9.742605209E0,9.751167040E0
1.156406450E-1,-5.566519126E-2,4.159925580E-1,9.756970406E0,9.765993033E0
1.181611140E-1,-7.481880486E-2,4.255693555E-1,9.742605209E0,9.752182494E0
1.206815830E-1,-7.960720360E-2,4.303577542E-1,9.737816811E0,9.747646964E0
1.232020510E-1,-5.566519126E-2,4.303577542E-1,9.733028412E0,9.742697187E0
1.257225200E-1,-7.003039867E-2,4.351461530E-1,9.737816811E0,9.747786039E0
1.282429890E-1,-7.481880486E-2,4.399345517E-1,9.761758804E0,9.771953501E0
1.307633530E-1,-7.003039867E-2,4.255693555E-1,9.761758804E0,9.771281824E0
1.332836140E-1,-7.481880486E-2,4.495113790E-1,9.766547203E0,9.777172526E0
1.358038740E-1,-6.045359373E-2,4.542997777E-1,9.761758804E0,9.772511339E0
1.383241350E-1,-4.608838260E-2,4.686649740E-1,9.771335602E0,9.782677059E0
1.408443950E-1,-5.087678507E-2,4.590881765E-1,9.790489197E0,9.801378939E0
1.433646550E-1,-5.087678507E-2,4.734533727E-1,9.828796387E0,9.840324433E0
1.458849160E-1,-3.651157767E-2,4.734533727E-1,9.857526779E0,9.868957665E0
1.484052280E-1,-5.087678507E-2,4.734533727E-1,9.843161583E0,9.854672825E0
1.509255930E-1,-4.608838260E-2,4.590881765E-1,9.828796387E0,9.839620140E0
1.534459580E-1,-4.129998013E-2,4.734533727E-1,9.819219589E0,9.830713968E0
1.559663220E-1,-5.087678507E-2,4.782418013E-1,9.814431190E0,9.826207980E0
1.584867390E-1,-4.129998013E-2,4.878185987E-1,9.814431190E0,9.826633822E0
1.610072080E-1,-4.608838260E-2,4.878185987E-1,9.819219589E0,9.831437558E0
1.635277280E-1,-4.608838260E-2,4.926069975E-1,9.800065994E0,9.812547034E0
1.660483010E-1,-4.129998013E-2,5.069721937E-1,9.785700798E0,9.798911501E0
1.685689260E-1,-4.129998013E-2,4.973953962E-1,9.795277596E0,9.807985065E0
1.710896030E-1,-6.524199992E-2,4.973953962E-1,9.790489197E0,9.803332975E0
1.736102800E-1,-7.003039867E-2,5.117605925E-1,9.790489197E0,9.804105358E0
1.761309580E-1,-7.960720360E-2,4.973953962E-1,9.790489197E0,9.803439101E0
1.786516350E-1,-8.439560980E-2,4.926069975E-1,9.795277596E0,9.808019548E0
1.811723120E-1,-7.003039867E-2,4.878185987E-1,9.809642792E0,9.822014200E0
1.836925200E-1,-7.481880486E-2,4.926069975E-1,9.819219589E0,9.831852971E0
1.862125720E-1,-8.918401599E-2,4.926069975E-1,9.824007988E0,9.836754973E0
1.887326240E-1,-8.918401599E-2,5.069721937E-1,9.814431190E0,9.827921153E0
1.912526760E-1,-8.439560980E-2,5.069721937E-1,9.809642792E0,9.823097023E0
1.937727280E-1,-9.397241473E-2,5.213374496E-1,9.809642792E0,9.823935833E0
1.962928330E-1,-9.876082093E-2,5.069721937E-1,9.790489197E0,9.804103897E0
1.988129890E-1,-8.439560980E-2,5.069721937E-1,9.804854393E0,9.818315186E0
2.013331970E-1,-1.083376259E-1,5.021837950E-1,9.804854393E0,9.818304094E0
2.038534580E-1,-9.397241473E-2,4.973953962E-1,9.814431190E0,9.827476410E0
2.063737700E-1,-7.960720360E-2,4.878185987E-1,9.814431190E0,9.826869485E0
2.088941350E-1,-1.035492271E-1,4.973953962E-1,9.795277596E0,9.808444719E0
2.114145510E-1,-8.439560980E-2,4.926069975E-1,9.795277596E0,9.808019548E0
2.139350200E-1,-7.481880486E-2,4.686649740E-1,9.800065994E0,9.811551264E0
2.164555410E-1,-9.397241473E-2,4.638765752E-1,9.785700798E0,9.797140011E0
2.189761140E-1,-8.439560980E-2,4.542997777E-1,9.776124001E0,9.787037927E0
2.214967390E-1,-8.918401599E-2,4.590881765E-1,9.795277596E0,9.806435587E0
2.240174160E-1,-1.035492271E-1,4.495113790E-1,9.800065994E0,9.810916186E0
2.265380930E-1,-8.918401599E-2,4.399345517E-1,9.804854393E0,9.815124343E0
2.290587700E-1,-7.003039867E-2,4.399345517E-1,9.800065994E0,9.810185531E0
2.315794470E-1,-7.481880486E-2,4.542997777E-1,9.800065994E0,9.810875579E0
2.341000200E-1,-7.003039867E-2,4.351461530E-1,9.795277596E0,9.805188402E0
2.366204370E-1,-5.087678507E-2,4.399345517E-1,9.809642792E0,9.819634543E0
2.391408530E-1,-5.566519126E-2,4.303577542E-1,9.819219589E0,9.828803577E0
2.416612700E-1,-4.129998013E-2,4.207809567E-1,9.804854393E0,9.813966169E0
2.441816870E-1,-5.566519126E-2,4.016273320E-1,9.795277596E0,9.803665962E0
2.467021030E-1,-6.524199992E-2,4.064157307E-1,9.804854393E0,9.813490711E0
2.492225200E-1,-6.524199992E-2,4.064157307E-1,9.814431190E0,9.823059089E0
