"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.238291700E-2,1.167173311E-1,1.047463268E-1,9.742605209E0,9.743867353E0
2.488875000E-2,1.119289324E-1,9.516951442E-2,9.752182007E0,9.753288636E0
2.739786500E-2,1.023521200E-1,9.038111567E-2,9.785700798E0,9.786653402E0
2.991057300E-2,1.071405262E-1,8.080431074E-2,9.828796387E0,9.829712450E0
3.242698000E-2,1.071405262E-1,9.995792061E-2,9.847949982E0,9.849040030E0
3.494708400E-2,1.023521200E-1,8.559270948E-2,9.871891975E0,9.872793589E0
3.747067700E-2,1.215057373E-1,8.080431074E-2,9.871891975E0,9.872970382E0
3.999744800E-2,1.167173311E-1,8.559270948E-2,9.847949982E0,9.849013549E0
4.252703200E-2,1.358709484E-1,6.165069342E-2,9.804854393E0,9.805989567E0
4.505890700E-2,1.406593472E-1,6.643909961E-2,9.809642792E0,9.810876154E0
4.759255200E-2,1.358709484E-1,5.686229095E-2,9.828796387E0,9.829899931E0
5.012734400E-2,1.406593472E-1,2.813187055E-2,9.804854393E0,9.805903636E0
5.266260500E-2,1.646013707E-1,3.770867735E-2,9.814431190E0,9.815883819E0
5.519458400E-2,1.693897694E-1,4.249707982E-2,9.819219589E0,9.820772487E0
5.771442700E-2,1.789665818E-1,4.728548229E-2,9.833584785E0,9.835326872E0
6.023427100E-2,1.981201917E-1,5.207388848E-2,9.819219589E0,9.821356151E0
6.275411500E-2,1.837549806E-1,4.249707982E-2,9.766547203E0,9.768368142E0
6.527395900E-2,1.933317930E-1,5.686229095E-2,9.776124001E0,9.778200805E0
6.779380200E-2,2.029085904E-1,6.165069342E-2,9.776124001E0,9.778423860E0
7.031364600E-2,2.076970041E-1,5.686229095E-2,9.795277596E0,9.797644336E0
7.283349000E-2,1.837549806E-1,8.080431074E-2,9.790489197E0,9.792546857E0
7.535338600E-2,1.837549806E-1,8.559270948E-2,9.790489197E0,9.792587539E0
7.787333400E-2,1.885433793E-1,8.559270948E-2,9.780912399E0,9.783103908E0
8.039333400E-2,2.029085904E-1,7.122749835E-2,9.780912399E0,9.783276170E0
8.291333400E-2,2.076970041E-1,9.038111567E-2,9.756970406E0,9.759599289E0
8.543333400E-2,1.981201917E-1,7.122749835E-2,9.742605209E0,9.744879744E0
8.795333400E-2,2.124854028E-1,8.559270948E-2,9.718663216E0,9.721362603E0
9.047333400E-2,2.172738016E-1,8.080431074E-2,9.709086418E0,9.711853392E0
9.299333400E-2,2.029085904E-1,8.080431074E-2,9.737816811E0,9.740265780E0
9.551296900E-2,2.029085904E-1,8.559270948E-2,9.728240013E0,9.730732334E0
9.803250000E-2,2.220622003E-1,9.516951442E-2,9.761758804E0,9.764748016E0
1.005520320E-1,2.172738016E-1,8.559270948E-2,9.752182007E0,9.754977597E0
1.030715630E-1,2.124854028E-1,9.516951442E-2,9.766547203E0,9.769321960E0
1.055910940E-1,2.029085904E-1,9.995792061E-2,9.761758804E0,9.764379060E0
1.081106250E-1,1.885433793E-1,9.516951442E-2,9.756970406E0,9.759255983E0
1.106301570E-1,1.598129570E-1,1.143231317E-1,9.790489197E0,9.792460808E0
1.131496880E-1,1.598129570E-1,1.334767491E-1,9.776124001E0,9.778341204E0
1.156692190E-1,1.646013707E-1,1.526303589E-1,9.780912399E0,9.783487977E0
1.181887500E-1,1.502361596E-1,1.622071713E-1,9.809642792E0,9.812134007E0
1.207082820E-1,1.358709484E-1,1.669955701E-1,9.824007988E0,9.826366642E0
1.232278650E-1,1.262941360E-1,1.478419602E-1,9.824007988E0,9.825932037E0
1.257475000E-1,1.358709484E-1,1.382651478E-1,9.833584785E0,9.835495305E0
1.282671880E-1,1.119289324E-1,1.669955701E-1,9.828796387E0,9.830852151E0
1.307869270E-1,1.119289324E-1,1.622071713E-1,9.814431190E0,9.816409672E0
1.333066670E-1,1.215057373E-1,1.574187577E-1,9.814431190E0,9.816445584E0
1.358264070E-1,1.119289324E-1,1.717839688E-1,9.814431190E0,9.816572590E0
1.383461460E-1,1.167173311E-1,1.717839688E-1,9.819219589E0,9.821415683E0
1.408658860E-1,1.071405262E-1,1.957259923E-1,9.819219589E0,9.821754482E0
1.433856250E-1,1.119289324E-1,2.053027898E-1,9.814431190E0,9.817216353E0
1.459051570E-1,1.023521200E-1,2.053027898E-1,9.814431190E0,9.817111835E0
1.484246880E-1,8.798690885E-2,1.957259923E-1,9.824007988E0,9.826351475E0
1.509442190E-1,8.319851011E-2,1.909375787E-1,9.819219589E0,9.821428231E0
