"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.155777100E-2,-5.638337135E-2,-1.969606876E-1,1.298961639E-1,2.425811420E-1
7.646297900E-2,-6.058156490E-2,-1.608961523E-1,5.776405334E-2,1.813680889E-1
8.136818700E-2,-7.427287102E-2,-1.119061112E-1,9.638786316E-3,1.346563898E-1
8.627339600E-2,-7.929313183E-2,-5.857992172E-2,-3.037548065E-2,1.031585082E-1
9.117860400E-2,-7.212221622E-2,1.306253672E-2,-7.228374481E-2,1.029426234E-1
9.608381200E-2,-5.772221088E-2,1.529455185E-4,-1.699953079E-1,1.795279414E-1
1.009890210E-1,-4.056417942E-2,-1.100075245E-2,-2.355442047E-1,2.392645849E-1
1.058986040E-1,-1.570105553E-2,2.094626427E-3,-2.757101059E-1,2.761647572E-1
1.108168330E-1,1.672029495E-2,1.556384563E-2,-2.332715988E-1,2.343873725E-1
1.157474580E-1,-2.368211746E-3,6.645083427E-3,-1.756973267E-1,1.758388926E-1
1.206935520E-1,-1.155591011E-2,-2.378040552E-2,-9.880924225E-2,1.022854491E-1
1.256575100E-1,-1.140594482E-2,-4.315161705E-2,-7.641792297E-3,4.528305004E-2
1.306408440E-1,-2.067875862E-2,-6.144392490E-2,7.474899292E-2,9.894634358E-2
1.356442810E-1,-1.585042477E-2,-6.993991137E-2,1.353950500E-1,1.532143817E-1
1.406677190E-1,-2.032041550E-3,-7.870227098E-2,1.800384521E-1,1.964994171E-1
1.457102190E-1,-2.264976501E-3,-7.849550247E-2,2.140760422E-1,2.280246168E-1
1.507701140E-1,-6.844997406E-3,-8.836889267E-2,2.288026810E-1,2.453702957E-1
1.558451660E-1,-2.039325237E-2,-9.882020950E-2,2.387695312E-1,2.592145976E-1
1.609325620E-1,-2.414953709E-2,-1.006584764E-1,2.302999496E-1,2.524943481E-1
1.660291250E-1,-2.769947052E-2,-9.411847591E-2,2.039813995E-1,2.263491982E-1
1.711291250E-1,-1.732242107E-2,-6.989324093E-2,1.556625366E-1,1.715108064E-1
1.762291250E-1,-1.657307148E-2,-6.064528227E-2,8.591747284E-2,1.064628062E-1
1.813119370E-1,2.794981003E-3,-4.719978571E-2,1.381969452E-2,4.926069068E-2
1.863324580E-1,7.740020752E-3,-3.853160143E-2,-2.822875977E-2,4.838858448E-2
1.913529790E-1,-1.068842411E-2,-2.045005560E-2,-6.444168091E-2,6.844835588E-2
1.963735000E-1,-7.878541946E-4,2.359271049E-3,-9.972190857E-2,9.975292438E-2
2.013940210E-1,-9.986281395E-3,-2.739846706E-3,-1.155414581E-1,1.160045737E-1
2.064145410E-1,-1.909792423E-2,1.153236628E-2,-1.031198502E-1,1.055055907E-1
2.114350620E-1,-2.818250656E-2,2.143633366E-2,-1.004858017E-1,1.065418529E-1
2.164555310E-1,-1.839697361E-2,3.449380398E-3,-7.001590729E-2,7.247464478E-2
2.214760000E-1,-4.404306412E-3,-1.850771904E-2,-3.572273254E-2,4.047279579E-2
2.264964690E-1,-9.489893913E-3,-2.124887705E-2,1.639366150E-2,2.846620803E-2
2.315169370E-1,-5.007266998E-3,-2.875775099E-2,5.795001984E-2,6.488671485E-2
2.365374060E-1,4.143595695E-3,-4.099315405E-2,9.391880035E-2,1.025590031E-1
2.415578750E-1,-8.487701416E-4,-5.820900202E-2,1.385231018E-1,1.502586372E-1
2.465783440E-1,3.630399704E-3,-6.148779392E-2,1.541423798E-1,1.659933789E-1
2.515988120E-1,8.231043816E-3,-5.120241642E-2,1.601829529E-1,1.683686904E-1
2.566192810E-1,-5.861997604E-3,-5.100148916E-2,1.427803040E-1,1.517291340E-1
2.616397500E-1,-1.018798351E-2,-3.712332249E-2,1.211481094E-1,1.271172707E-1
2.666602190E-1,-1.433110237E-2,-2.849537134E-2,8.596324921E-2,9.168994982E-2
2.716806870E-1,-1.844251156E-2,-1.999002695E-2,3.743171692E-2,4.626943745E-2
2.767011560E-1,-1.783406734E-2,-2.089017630E-2,-5.453109741E-3,2.800338961E-2
2.817216250E-1,-2.205383778E-2,-2.619451284E-2,-4.284667969E-2,5.484853894E-2
2.867420940E-1,-2.170491219E-2,-1.700299978E-2,-4.670429230E-2,5.423556152E-2
2.917625620E-1,-1.676654816E-2,-1.696842909E-2,-6.933975220E-2,7.332834348E-2
2.967830310E-1,-1.197743416E-2,-2.589005232E-2,-7.751560211E-2,8.259795584E-2
3.018035000E-1,-2.628803253E-3,-1.544737816E-2,-4.327392578E-2,4.602352389E-2
3.068239690E-1,-2.952814102E-3,-2.281069756E-4,-3.319358826E-2,3.332544741E-2
3.118444370E-1,1.484632492E-3,-1.811021566E-2,-4.474639893E-3,1.871380365E-2
3.168649060E-1,1.142978668E-3,-3.584194183E-2,3.317928314E-2,4.885505117E-2
3.218853750E-1,1.022732258E-2,-2.508223057E-2,5.609226227E-2,6.229011401E-2
3.269058440E-1,9.839177132E-3,-2.885651588E-2,6.924915314E-2,7.566342000E-2
3.319263120E-1,1.964569092E-4,-2.821260691E-2,8.695983887E-2,9.142211636E-2
3.369467810E-1,-4.532694817E-3,-2.789831161E-2,9.500980377E-2,9.912478966E-2
3.419672500E-1,2.950429916E-4,-3.260475397E-2,8.412742615E-2,9.022516756E-2
3.469877710E-1,-4.389643669E-3,-2.342635393E-2,5.930519104E-2,6.391532457E-2
3.520082910E-1,-1.833069324E-2,-1.448917389E-2,5.375385284E-2,5.861251718E-2
3.570288120E-1,-1.797401905E-2,-2.461898327E-2,2.470970154E-2,3.923938134E-2
3.620493330E-1,-2.233600616E-2,-1.099842787E-2,5.534172058E-3,2.550469853E-2
3.670698540E-1,-7.820367813E-3,-2.108162642E-2,-2.281093597E-2,3.203017210E-2
