"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.224860300E-2,1.310825497E-1,3.250128925E-1,9.670779228E0,9.677126996E0
2.475240500E-2,1.262941360E-1,3.058592677E-1,9.665990829E0,9.671653365E0
2.725902000E-2,1.502361596E-1,3.106476665E-1,9.718663216E0,9.724787277E0
2.976886300E-2,1.358709484E-1,3.154360652E-1,9.785700798E0,9.791726147E0
3.228224900E-2,9.756372124E-2,3.345896900E-1,9.867103577E0,9.873256906E0
3.479928000E-2,7.362170517E-2,3.106476665E-1,9.905410767E0,9.910554202E0
3.731995700E-2,5.925649032E-2,3.154360652E-1,9.943717957E0,9.948896323E0
3.984407200E-2,4.010287672E-2,3.106476665E-1,9.962871552E0,9.967794127E0
4.237131100E-2,3.531447425E-2,3.202244639E-1,9.982025146E0,9.987222679E0
4.490125900E-2,5.925649032E-2,3.202244639E-1,9.948506355E0,9.953835127E0
4.743339500E-2,6.883329898E-2,3.058592677E-1,9.895833969E0,9.900798850E0
4.996714500E-2,1.119289324E-1,2.867056429E-1,9.838373184E0,9.843186228E0
5.250193600E-2,1.454477459E-1,2.914940715E-1,9.785700798E0,9.791121690E0
5.503714500E-2,1.646013707E-1,2.867056429E-1,9.747393608E0,9.752998302E0
5.756777000E-2,1.646013707E-1,2.914940715E-1,9.742605209E0,9.748354665E0
6.008756100E-2,1.741781682E-1,3.010708690E-1,9.747393608E0,9.753597483E0
6.260724900E-2,1.789665818E-1,3.058592677E-1,9.761758804E0,9.768188874E0
6.512693600E-2,1.598129570E-1,3.154360652E-1,9.771335602E0,9.777731820E0
6.764662400E-2,1.406593472E-1,3.058592677E-1,9.780912399E0,9.786704364E0
7.016631100E-2,1.167173311E-1,3.106476665E-1,9.824007988E0,9.829611277E0
7.268589500E-2,9.756372124E-2,3.154360652E-1,9.847949982E0,9.853483518E0
7.520547800E-2,1.023521200E-1,3.154360652E-1,9.824007988E0,9.829603696E0
7.772506100E-2,1.023521200E-1,3.202244639E-1,9.819219589E0,9.824972926E0
8.024464500E-2,1.023521200E-1,3.250128925E-1,9.800065994E0,9.805988111E0
8.276428000E-2,1.167173311E-1,3.250128925E-1,9.780912399E0,9.787006880E0
8.528396700E-2,1.215057373E-1,3.345896900E-1,9.752182007E0,9.758676539E0
8.780370700E-2,1.167173311E-1,3.393780887E-1,9.718663216E0,9.725287406E0
9.032349900E-2,1.119289324E-1,3.298012912E-1,9.713874817E0,9.720116303E0
9.284334200E-2,1.310825497E-1,3.345896900E-1,9.709086418E0,9.715734248E0
9.536318600E-2,1.119289324E-1,3.345896900E-1,9.718663216E0,9.725065195E0
9.788303000E-2,1.215057373E-1,3.489548862E-1,9.733028412E0,9.740039796E0
1.004028740E-1,1.167173311E-1,3.489548862E-1,9.752182007E0,9.759121187E0
1.029227170E-1,1.119289324E-1,3.393780887E-1,9.761758804E0,9.768297729E0
1.054425610E-1,9.277531505E-2,3.489548862E-1,9.780912399E0,9.787574987E0
1.079624050E-1,7.841010392E-2,3.585317135E-1,9.809642792E0,9.816505735E0
1.104822490E-1,5.446808785E-2,3.585317135E-1,9.828796387E0,9.835484237E0
1.130020920E-1,5.446808785E-2,3.728969097E-1,9.824007988E0,9.831233484E0
1.155219360E-1,6.404489279E-2,3.681085110E-1,9.814431190E0,9.821540878E0
1.180417800E-1,5.446808785E-2,3.393780887E-1,9.824007988E0,9.830019187E0
1.205616240E-1,6.404489279E-2,3.489548862E-1,9.833584785E0,9.839982774E0
1.230814670E-1,6.883329898E-2,3.441664875E-1,9.819219589E0,9.825490417E0
1.256013110E-1,8.319851011E-2,3.537433147E-1,9.785700798E0,9.792445886E0
1.281210510E-1,8.798690885E-2,3.537433147E-1,9.776124001E0,9.782917586E0
1.306405820E-1,7.362170517E-2,3.345896900E-1,9.776124001E0,9.782125070E0
1.331601130E-1,7.362170517E-2,3.298012912E-1,9.761758804E0,9.767605848E0
1.356794880E-1,7.362170517E-2,3.345896900E-1,9.761758804E0,9.767768700E0
1.381988630E-1,7.362170517E-2,3.202244639E-1,9.780912399E0,9.786429953E0
1.407182380E-1,8.319851011E-2,3.106476665E-1,9.809642792E0,9.814912922E0
1.432376130E-1,7.841010392E-2,3.250128925E-1,9.804854393E0,9.810553052E0
1.457570400E-1,6.883329898E-2,3.202244639E-1,9.785700798E0,9.791180819E0
1.482765200E-1,8.798690885E-2,3.250128925E-1,9.785700798E0,9.791491980E0
1.507960510E-1,9.277531505E-2,3.202244639E-1,9.785700798E0,9.791378405E0
1.533156340E-1,8.798690885E-2,3.106476665E-1,9.785700798E0,9.791025675E0
1.558352700E-1,9.756372124E-2,3.202244639E-1,9.780912399E0,9.786639349E0
1.583549570E-1,1.023521200E-1,3.010708690E-1,9.776124001E0,9.781294398E0
1.608746970E-1,1.023521200E-1,2.962824702E-1,9.776124001E0,9.781148181E0
1.633944880E-1,1.071405262E-1,3.106476665E-1,9.780912399E0,9.786430832E0
1.659143320E-1,9.756372124E-2,2.962824702E-1,9.785700798E0,9.790671177E0
1.684342280E-1,1.119289324E-1,2.867056429E-1,9.785700798E0,9.790539736E0
1.709541760E-1,1.071405262E-1,2.914940715E-1,9.780912399E0,9.785841571E0
1.734741760E-1,1.167173311E-1,2.819172442E-1,9.776124001E0,9.780884456E0
1.759942280E-1,1.071405262E-1,2.723404467E-1,9.766547203E0,9.770931004E0
1.785143320E-1,1.167173311E-1,2.771288455E-1,9.771335602E0,9.775961476E0
1.810344880E-1,1.071405262E-1,2.627636492E-1,9.771335602E0,9.775455144E0
1.835546970E-1,9.756372124E-2,2.819172442E-1,9.771335602E0,9.775888474E0
1.860749570E-1,1.023521200E-1,2.914940715E-1,9.776124001E0,9.781004306E0
1.885952700E-1,9.756372124E-2,2.962824702E-1,9.790489197E0,9.795457146E0
1.911155820E-1,8.798690885E-2,2.962824702E-1,9.785700798E0,9.790580427E0
1.936358950E-1,1.023521200E-1,2.914940715E-1,9.785700798E0,9.790576329E0
1.961562070E-1,1.071405262E-1,3.202244639E-1,9.785700798E0,9.791525055E0
1.986765200E-1,8.798690885E-2,3.154360652E-1,9.780912399E0,9.786393052E0
2.011968320E-1,1.023521200E-1,3.010708690E-1,9.795277596E0,9.800437888E0
2.037171450E-1,9.277531505E-2,3.058592677E-1,9.785700798E0,9.790919122E0
2.062374570E-1,8.319851011E-2,3.010708690E-1,9.814431190E0,9.819400453E0
2.087575090E-1,7.362170517E-2,3.010708690E-1,9.809642792E0,9.814537968E0
2.112767800E-1,8.319851011E-2,3.106476665E-1,9.804854393E0,9.810127096E0
2.137960510E-1,9.277531505E-2,3.154360652E-1,9.804854393E0,9.810365785E0
2.163153220E-1,9.277531505E-2,2.962824702E-1,9.790489197E0,9.795410623E0
2.188345920E-1,9.756372124E-2,3.010708690E-1,9.785700798E0,9.790817252E0
2.213538630E-1,8.798690885E-2,3.202244639E-1,9.795277596E0,9.800905498E0
2.238731340E-1,9.756372124E-2,3.298012912E-1,9.790489197E0,9.796528277E0
2.263924570E-1,9.277531505E-2,3.298012912E-1,9.795277596E0,9.801267231E0
2.289118320E-1,9.756372124E-2,3.441664875E-1,9.819219589E0,9.825733692E0
2.314313110E-1,1.071405262E-1,3.393780887E-1,9.771335602E0,9.777814481E0
2.339508950E-1,1.071405262E-1,3.345896900E-1,9.780912399E0,9.787220071E0
2.364705820E-1,8.798690885E-2,3.489548862E-1,9.795277596E0,9.801886267E0
2.389903220E-1,9.277531505E-2,3.585317135E-1,9.780912399E0,9.787921108E0
2.415101130E-1,8.798690885E-2,3.585317135E-1,9.780912399E0,9.787876892E0
2.440299570E-1,9.756372124E-2,3.776853085E-1,9.771335602E0,9.779118790E0
2.465498530E-1,1.023521200E-1,3.872621357E-1,9.795277596E0,9.803464239E0
2.490698010E-1,9.756372124E-2,3.824737072E-1,9.795277596E0,9.803227427E0
2.515898010E-1,9.756372124E-2,3.824737072E-1,9.790489197E0,9.798442913E0
2.541098530E-1,1.023521200E-1,3.920505345E-1,9.785700798E0,9.794085955E0
2.566299570E-1,1.071405262E-1,3.872621357E-1,9.785700798E0,9.793946659E0
2.591501130E-1,1.215057373E-1,3.824737072E-1,9.795277596E0,9.803494936E0
2.616702700E-1,1.167173311E-1,4.016273320E-1,9.800065994E0,9.808986744E0
2.641904260E-1,1.167173311E-1,4.159925580E-1,9.790489197E0,9.800017931E0
2.667105820E-1,1.215057373E-1,4.207809567E-1,9.785700798E0,9.795496943E0
2.692307380E-1,1.167173311E-1,4.303577542E-1,9.790489197E0,9.800638216E0
2.717504780E-1,1.167173311E-1,4.351461530E-1,9.804854393E0,9.815199681E0
2.742702170E-1,1.023521200E-1,4.255693555E-1,9.814431190E0,9.824186726E0
2.767899570E-1,1.023521200E-1,4.303577542E-1,9.828796387E0,9.838745965E0
2.793096970E-1,9.756372124E-2,4.207809567E-1,9.819219589E0,9.828715513E0
2.818292280E-1,1.023521200E-1,4.064157307E-1,9.795277596E0,9.804239536E0
2.843487590E-1,9.277531505E-2,4.016273320E-1,9.785700798E0,9.794378586E0
2.868682900E-1,9.277531505E-2,4.112041295E-1,9.814431190E0,9.823479816E0
2.893878740E-1,8.798690885E-2,3.968389332E-1,9.814431190E0,9.822844925E0
2.919075090E-1,8.798690885E-2,4.159925580E-1,9.804854393E0,9.814069552E0
2.944272490E-1,9.277531505E-2,4.016273320E-1,9.790489197E0,9.799162744E0
2.969470920E-1,1.119289324E-1,3.968389332E-1,9.776124001E0,9.784815261E0
2.994670400E-1,9.756372124E-2,4.016273320E-1,9.766547203E0,9.775288613E0
3.019870920E-1,9.277531505E-2,3.968389332E-1,9.766547203E0,9.775046428E0
3.045071970E-1,8.319851011E-2,3.968389332E-1,9.771335602E0,9.779744505E0
3.070273530E-1,9.277531505E-2,3.776853085E-1,9.785700798E0,9.793426038E0
3.095475610E-1,8.798690885E-2,3.728969097E-1,9.785700798E0,9.793198349E0
3.120677700E-1,8.319851011E-2,3.585317135E-1,9.776124001E0,9.783050008E0
3.145879780E-1,8.319851011E-2,3.441664875E-1,9.766547203E0,9.772963564E0
3.171081860E-1,8.319851011E-2,3.393780887E-1,9.761758804E0,9.768010772E0
3.196280300E-1,8.319851011E-2,3.298012912E-1,9.780912399E0,9.786824727E0
3.221476650E-1,8.798690885E-2,3.298012912E-1,9.790489197E0,9.796437582E0
3.246673010E-1,7.362170517E-2,3.106476665E-1,9.780912399E0,9.786121269E0
3.271869360E-1,6.883329898E-2,3.250128925E-1,9.780912399E0,9.786552956E0
3.297065720E-1,8.798690885E-2,3.202244639E-1,9.790489197E0,9.796119850E0
3.322262070E-1,9.756372124E-2,3.106476665E-1,9.795277596E0,9.800687926E0
3.347458420E-1,9.756372124E-2,2.962824702E-1,9.790489197E0,9.795457146E0
