time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000771,-0.0123,-0.0004,0.0210,0.024
0.002487,-0.0174,-0.0051,0.0113,0.021
0.006773,-0.0083,-0.0145,0.0017,0.017
0.013319,0.0058,-0.0002,-0.0268,0.027
0.017465,0.0058,-0.0144,-0.0171,0.023
0.021768,0.0011,-0.0048,-0.0074,0.009
0.027794,-0.0083,-0.0096,0.0069,0.014
0.032003,-0.0132,-0.0095,0.0068,0.018
0.038490,-0.0085,-0.0046,-0.0075,0.012
0.042602,0.0009,-0.0093,-0.0074,0.012
0.047403,0.0009,0.0002,0.0021,0.002
0.052672,-0.0086,-0.0046,0.0069,0.012
0.058149,-0.0038,-0.0046,0.0163,0.017
0.062375,0.0104,0.0002,0.0114,0.015
0.067291,-0.0088,0.0001,-0.0029,0.009
0.076394,0.0007,0.0048,0.0019,0.005
0.076696,0.0005,-0.0143,0.0066,0.016
0.085701,-0.0090,-0.0048,0.0160,0.019
0.086648,-0.0090,0.0047,0.0017,0.010
0.094765,-0.0137,-0.0049,0.0016,0.015
0.097602,-0.0137,-0.0145,0.0064,0.021
0.101844,0.0006,-0.0144,0.0016,0.014
0.106845,-0.0042,-0.0096,-0.0127,0.016
0.111807,-0.0090,-0.0047,-0.0078,0.013
0.117767,-0.0042,-0.0048,0.0065,0.009
0.122143,0.0006,-0.0049,0.0064,0.008
0.127718,0.0101,-0.0097,0.0016,0.014
0.132739,-0.0138,-0.0049,-0.0031,0.015
0.139506,-0.0138,0.0045,0.0064,0.016
0.143321,-0.0089,-0.0146,-0.0079,0.019
0.147941,0.0006,-0.0051,0.0017,0.005
0.153374,0.0005,-0.0146,0.0064,0.016
0.159245,0.0051,0.0045,0.0016,0.007
0.162461,-0.0044,0.0091,0.0063,0.012
0.168378,0.0051,-0.0100,-0.0032,0.012
0.176108,0.0050,0.0042,-0.0079,0.010
0.178122,0.0002,-0.0054,-0.0174,0.018
0.182969,-0.0094,-0.0054,-0.0077,0.013
0.187859,-0.0188,-0.0101,0.0018,0.021
0.193985,-0.0044,-0.0006,-0.0029,0.005
0.198139,-0.0139,-0.0054,-0.0077,0.017
0.203540,-0.0186,-0.0054,-0.0123,0.023
0.209626,-0.0042,-0.0102,0.0068,0.013
0.214101,-0.0090,-0.0053,-0.0028,0.011
0.218438,-0.0042,-0.0006,-0.0028,0.005
0.224233,0.0005,-0.0101,0.0068,0.012
0.228663,0.0005,-0.0101,-0.0028,0.010
0.233071,-0.0044,0.0041,-0.0075,0.010
0.240697,-0.0092,-0.0055,0.0068,0.013
0.245349,-0.0092,-0.0102,-0.0028,0.014
0.248779,-0.0044,-0.0149,0.0068,0.017
0.255512,0.0004,-0.0149,0.0067,0.016
0.258939,0.0004,-0.0101,0.0019,0.010
0.264262,0.0003,-0.0100,0.0161,0.019
0.268682,0.0050,-0.0242,0.0065,0.026
0.280513,0.0002,-0.0098,0.0017,0.010
0.281109,-0.0046,-0.0051,-0.0031,0.008
0.283755,-0.0093,-0.0147,-0.0030,0.018
0.289041,-0.0188,-0.0051,-0.0173,0.026
0.292917,-0.0044,-0.0051,-0.0171,0.018
0.298843,-0.0139,-0.0146,-0.0027,0.020
0.303922,-0.0043,-0.0003,-0.0027,0.005
0.308568,-0.0090,-0.0051,-0.0027,0.011
0.313720,-0.0138,-0.0100,-0.0027,0.017
0.318584,-0.0041,-0.0005,-0.0074,0.008
0.323377,0.0006,-0.0148,0.0117,0.019
0.328829,-0.0090,-0.0052,-0.0027,0.011
0.333400,-0.0137,0.0090,0.0021,0.016
0.338868,-0.0183,-0.0006,0.0021,0.018
0.343717,0.0007,-0.0007,-0.0027,0.003
0.348473,-0.0041,0.0040,0.0021,0.006
0.353709,-0.0088,-0.0103,-0.0027,0.014
0.359243,-0.0088,0.0039,0.0021,0.010
0.363964,-0.0182,-0.0009,0.0068,0.019
0.369287,-0.0181,-0.0010,-0.0027,0.018
0.377210,-0.0086,-0.0010,0.0020,0.009
0.379664,-0.0085,-0.0012,0.0115,0.014
0.383550,-0.0133,-0.0012,-0.0028,0.014
0.388439,-0.0085,-0.0108,-0.0028,0.014
0.393893,-0.0133,-0.0013,0.0020,0.013
0.398682,0.0011,-0.0014,-0.0028,0.003
0.404121,-0.0037,-0.0061,-0.0028,0.008
0.409988,-0.0085,-0.0109,0.0068,0.015
0.415550,-0.0180,-0.0061,0.0067,0.020
0.418745,-0.0179,-0.0061,0.0067,0.020
0.425236,-0.0083,-0.0014,0.0113,0.014
0.430669,-0.0036,-0.0109,-0.0030,0.012
0.436321,-0.0036,-0.0061,0.0113,0.013
0.441003,-0.0036,-0.0014,-0.0031,0.005
0.445923,-0.0084,-0.0062,0.0065,0.012
0.448826,-0.0083,-0.0062,-0.0031,0.011
0.454635,-0.0130,-0.0110,0.0064,0.018
0.459919,-0.0081,-0.0015,0.0111,0.014
