t,x,y,z
0.0237851,0.0400127,0.282278,9.79501
0.025037,0.0401029,0.281917,9.79758
0.0262888,0.0401029,0.281917,9.79997
0.0275407,0.0423964,0.295678,9.80007
0.0287925,0.044785,0.31001,9.80007
0.0300444,0.0448913,0.310648,9.78867
0.0312962,0.0448913,0.310648,9.77674
0.0325481,0.0516665,0.301614,9.78516
0.0337999,0.0588125,0.292086,9.79469
0.0350518,0.0525638,0.291494,9.79751
0.0363036,0.0454278,0.291494,9.79989
0.0375555,0.0448913,0.28051,9.80226
0.0388073,0.0448913,0.268632,9.80464
0.0400592,0.0319506,0.261082,9.80917
0.041311,0.0177151,0.253964,9.81391
0.0425629,0.0224947,0.257409,9.81654
0.0438147,0.0296048,0.262149,9.81891
0.0450666,0.0305261,0.252458,9.81304
0.0463184,0.0305261,0.240618,9.80593
0.0475703,0.0285186,0.238822,9.80485
0.0488221,0.0261521,0.238822,9.80485
0.050074,0.0257377,0.242724,9.80876
0.0513258,0.0257377,0.247455,9.81349
0.0525777,0.0200565,0.248398,9.80686
0.0538295,0.0129608,0.248398,9.7974
0.0550814,0.0205721,0.252078,9.78608
0.0563332,0.032425,0.256819,9.77423
0.0575851,0.0389123,0.254377,9.77313
0.0588369,0.0436699,0.24962,9.77551
0.0600888,0.0395869,0.24663,9.77966
0.0613406,0.0324504,0.244251,9.78442
0.0625924,0.0270512,0.240135,9.78918
0.0638443,0.0222934,0.235377,9.79393
0.0650961,0.024363,0.234033,9.79528
0.066348,0.0291208,0.234033,9.79528
0.0675998,0.0288498,0.230681,9.7936
0.0688517,0.0264709,0.225923,9.79122
0.0701035,0.0273837,0.22281,9.7872
0.0713554,0.0297632,0.220431,9.78244
0.0726072,0.027293,0.221285,9.77768
0.0738591,0.0225341,0.223664,9.77292
0.0751109,0.0161881,0.230805,9.76975
0.0763628,0.00904975,0.240322,9.76737
0.0776146,0.0112567,0.235822,9.77122
0.0788665,0.0183951,0.223925,9.77836
0.0801183,0.0255334,0.21814,9.78244
0.0813702,0.0326718,0.215761,9.78482
0.082622,0.036813,0.219375,9.7887
0.0838739,0.0391925,0.226514,9.79346
0.0851257,0.0356957,0.229245,9.79234
0.0863776,0.0285574,0.229245,9.78758
0.0876294,0.0228586,0.224926,9.7857
0.0888813,0.0180997,0.217788,9.7857
0.0901331,0.0161609,0.21629,9.78711
0.091385,0.0161609,0.218669,9.78949
0.0926368,0.0203025,0.221049,9.79049
0.0938887,0.0274409,0.223428,9.79049
0.0951405,0.026473,0.22986,9.79319
0.0963924,0.0193348,0.239378,9.79795
0.0976442,0.0188036,0.240967,9.7961
0.0988961,0.0235623,0.236209,9.78896
0.100148,0.0231543,0.234033,9.78828
0.1014,0.0183957,0.234033,9.79304
0.102652,0.0199464,0.235295,9.79402
0.103903,0.0270842,0.237674,9.79164
0.105155,0.0305261,0.243749,9.78803
0.106407,0.0305261,0.253266,9.78327
0.107659,0.0269203,0.261581,9.78332
0.108911,0.0197827,0.268719,9.78807
0.110163,0.0196767,0.274684,9.79049
0.111415,0.0268143,0.279443,9.79049
