 (0.078483+0.000000j)  (32.118750-0.000000j)  (-25.361432+0.000000j)  (35.149042+0.000000j)
 (0.080936+0.000000j)  (32.179337+0.000000j)  (-25.377729-0.000000j)  (35.190442+0.000000j)
 (0.083389+0.000000j)  (32.239771-0.000000j)  (-25.393894-0.000000j)  (35.231710+0.000000j)
 (0.085841+0.000000j)  (32.300054+0.000000j)  (-25.409932+0.000000j)  (35.272835+0.000000j)
 (0.088294+0.000000j)  (32.360187+0.000000j)  (-25.425849+0.000000j)  (35.313829+0.000000j)
 (0.090746+0.000000j)  (32.420169-0.000000j)  (-25.441652+0.000000j)  (35.354693+0.000000j)
 (0.093199+0.000000j)  (32.480002+0.000000j)  (-25.457349-0.000000j)  (35.395434+0.000000j)
 (0.095652+0.000000j)  (32.539682+0.000000j)  (-25.472947+0.000000j)  (35.436057+0.000000j)
 (0.098104+0.000000j)  (32.599210-0.000000j)  (-25.488447-0.000000j)  (35.476572+0.000000j)
 (0.100557+0.000000j)  (32.658584-0.000000j)  (-25.503848+0.000000j)  (35.516990+0.000000j)
 (0.103009+0.000000j)  (32.717801+0.000000j)  (-25.519149-0.000000j)  (35.557319+0.000000j)
 (0.105462+0.000000j)  (32.776859-0.000000j)  (-25.534349+0.000000j)  (35.597568-0.000000j)
 (0.107915+0.000000j)  (32.835756+0.000000j)  (-25.549447-0.000000j)  (35.637742+0.000000j)
 (0.110367+0.000000j)  (32.894488-0.000000j)  (-25.564447-0.000000j)  (35.677845-0.000000j)
 (0.112820+0.000000j)  (32.953052-0.000000j)  (-25.579349-0.000000j)  (35.717875+0.000000j)
 (0.115272+0.000000j)  (33.011445+0.000000j)  (-25.594154-0.000000j)  (35.757825+0.000000j)
 (0.117725+0.000000j)  (33.069668-0.000000j)  (-25.608863+0.000000j)  (35.797690+0.000000j)
 (0.120178+0.000000j)  (33.127721+0.000000j)  (-25.623475-0.000000j)  (35.837464+0.000000j)
 (0.122630+0.000000j)  (33.185608-0.000000j)  (-25.637985+0.000000j)  (35.877137+0.000000j)
 (0.125083+0.000000j)  (33.243328-0.000000j)  (-25.652392-0.000000j)  (35.916700+0.000000j)
 (0.127535+0.000000j)  (33.300883-0.000000j)  (-25.666691+0.000000j)  (35.956143-0.000000j)
 (0.129988+0.000000j)  (33.358272+0.000000j)  (-25.680881-0.000000j)  (35.995455+0.000000j)
 (0.132441+0.000000j)  (33.415496-0.000000j)  (-25.694961-0.000000j)  (36.034628+0.000000j)
 (0.134893+0.000000j)  (33.472555-0.000000j)  (-25.708926-0.000000j)  (36.073650+0.000000j)
 (0.137346+0.000000j)  (33.529451-0.000000j)  (-25.722778-0.000000j)  (36.112514-0.000000j)
 (0.139798+0.000000j)  (33.586182+0.000000j)  (-25.736513-0.000000j)  (36.151214+0.000000j)
 (0.142251+0.000000j)  (33.642747+0.000000j)  (-25.750132-0.000000j)  (36.189743+0.000000j)
 (0.144704+0.000000j)  (33.699144-0.000000j)  (-25.763633+0.000000j)  (36.228096-0.000000j)
 (0.147156+0.000000j)  (33.755374+0.000000j)  (-25.777016+0.000000j)  (36.266269+0.000000j)
 (0.149609+0.000000j)  (33.811435+0.000000j)  (-25.790281-0.000000j)  (36.304258+0.000000j)
 (0.152061+0.000000j)  (33.867329+0.000000j)  (-25.803427+0.000000j)  (36.342060-0.000000j)
 (0.154514+0.000000j)  (33.923055-0.000000j)  (-25.816453+0.000000j)  (36.379674-0.000000j)
 (0.156967+0.000000j)  (33.978616-0.000000j)  (-25.829358+0.000000j)  (36.417098+0.000000j)
 (0.159419+0.000000j)  (34.034011-0.000000j)  (-25.842141-0.000000j)  (36.454331+0.000000j)
 (0.161872+0.000000j)  (34.089244-0.000000j)  (-25.854802-0.000000j)  (36.491373+0.000000j)
 (0.164324+0.000000j)  (34.144313+0.000000j)  (-25.867339-0.000000j)  (36.528225+0.000000j)
 (0.166777+0.000000j)  (34.199219-0.000000j)  (-25.879753+0.000000j)  (36.564888+0.000000j)
 (0.169230+0.000000j)  (34.253963-0.000000j)  (-25.892045+0.000000j)  (36.601366+0.000000j)
 (0.171682+0.000000j)  (34.308545+0.000000j)  (-25.904216+0.000000j)  (36.637663+0.000000j)
 (0.174135+0.000000j)  (34.362963-0.000000j)  (-25.916269-0.000000j)  (36.673783+0.000000j)
 (0.176587+0.000000j)  (34.417217-0.000000j)  (-25.928206-0.000000j)  (36.709733+0.000000j)
 (0.179040+0.000000j)  (34.471306-0.000000j)  (-25.940028-0.000000j)  (36.745522+0.000000j)
 (0.181493+0.000000j)  (34.525230-0.000000j)  (-25.951737+0.000000j)  (36.781156+0.000000j)
 (0.183945+0.000000j)  (34.578987+0.000000j)  (-25.963334-0.000000j)  (36.816644+0.000000j)
 (0.186398+0.000000j)  (34.632574+0.000000j)  (-25.974820+0.000000j)  (36.851994+0.000000j)
 (0.188851+0.000000j)  (34.685992-0.000000j)  (-25.986197-0.000000j)  (36.887211+0.000000j)
 (0.191303+0.000000j)  (34.739240-0.000000j)  (-25.997465+0.000000j)  (36.922300+0.000000j)
 (0.193756+0.000000j)  (34.792319-0.000000j)  (-26.008627-0.000000j)  (36.957266+0.000000j)
 (0.196208+0.000000j)  (34.845232-0.000000j)  (-26.019684+0.000000j)  (36.992111+0.000000j)
 (0.198661+0.000000j)  (34.897978+0.000000j)  (-26.030640-0.000000j)  (37.026841+0.000000j)
 (0.201114+0.000000j)  (34.950556-0.000000j)  (-26.041497+0.000000j)  (37.061459+0.000000j)
 (0.203566+0.000000j)  (35.002966-0.000000j)  (-26.052254-0.000000j)  (37.095967+0.000000j)
 (0.206019+0.000000j)  (35.055210-0.000000j)  (-26.062912+0.000000j)  (37.130368+0.000000j)
 (0.208471+0.000000j)  (35.107289-0.000000j)  (-26.073471-0.000000j)  (37.164660+0.000000j)
 (0.210924+0.000000j)  (35.159203-0.000000j)  (-26.083933+0.000000j)  (37.198841+0.000000j)
 (0.213377+0.000000j)  (35.210954-0.000000j)  (-26.094299+0.000000j)  (37.232912-0.000000j)
 (0.215829+0.000000j)  (35.262543-0.000000j)  (-26.104571+0.000000j)  (37.266872+0.000000j)
 (0.218282+0.000000j)  (35.313970-0.000000j)  (-26.114746+0.000000j)  (37.300718+0.000000j)
 (0.220734+0.000000j)  (35.365232+0.000000j)  (-26.124823+0.000000j)  (37.334446+0.000000j)
 (0.223187+0.000000j)  (35.416329-0.000000j)  (-26.134800-0.000000j)  (37.368053+0.000000j)
 (0.225640+0.000000j)  (35.467259-0.000000j)  (-26.144674+0.000000j)  (37.401535+0.000000j)
 (0.228092+0.000000j)  (35.518022-0.000000j)  (-26.154445-0.000000j)  (37.434886+0.000000j)
 (0.230545+0.000000j)  (35.568618-0.000000j)  (-26.164110+0.000000j)  (37.468100-0.000000j)
 (0.232997+0.000000j)  (35.619048+0.000000j)  (-26.173671-0.000000j)  (37.501173+0.000000j)
 (0.235450+0.000000j)  (35.669310-0.000000j)  (-26.183126+0.000000j)  (37.534098+0.000000j)
 (0.237903+0.000000j)  (35.719404-0.000000j)  (-26.192474-0.000000j)  (37.566873+0.000000j)
 (0.240355+0.000000j)  (35.769330-0.000000j)  (-26.201713-0.000000j)  (37.599492+0.000000j)
 (0.242808+0.000000j)  (35.819086+0.000000j)  (-26.210842-0.000000j)  (37.631951+0.000000j)
 (0.245260+0.000000j)  (35.868673-0.000000j)  (-26.219858+0.000000j)  (37.664245+0.000000j)
 (0.247713+0.000000j)  (35.918092-0.000000j)  (-26.228762-0.000000j)  (37.696370-0.000000j)
 (0.250166+0.000000j)  (35.967341-0.000000j)  (-26.237551-0.000000j)  (37.728324+0.000000j)
 (0.252618+0.000000j)  (36.016421-0.000000j)  (-26.246228+0.000000j)  (37.760107-0.000000j)
 (0.255071+0.000000j)  (36.065331+0.000000j)  (-26.254792-0.000000j)  (37.791718+0.000000j)
 (0.257523+0.000000j)  (36.114071+0.000000j)  (-26.263244-0.000000j)  (37.823156+0.000000j)
 (0.259976+0.000000j)  (36.162643-0.000000j)  (-26.271585-0.000000j)  (37.854424+0.000000j)
 (0.262429+0.000000j)  (36.211047+0.000000j)  (-26.279815-0.000000j)  (37.885524+0.000000j)
 (0.264881+0.000000j)  (36.259285-0.000000j)  (-26.287936-0.000000j)  (37.916459+0.000000j)
 (0.267334+0.000000j)  (36.307357-0.000000j)  (-26.295949+0.000000j)  (37.947232-0.000000j)
 (0.269786+0.000000j)  (36.355264-0.000000j)  (-26.303855+0.000000j)  (37.977847+0.000000j)
 (0.272239+0.000000j)  (36.403006-0.000000j)  (-26.311655+0.000000j)  (38.008307+0.000000j)
 (0.274692+0.000000j)  (36.450583-0.000000j)  (-26.319350+0.000000j)  (38.038620+0.000000j)
 (0.277144+0.000000j)  (36.497995-0.000000j)  (-26.326941-0.000000j)  (38.068790+0.000000j)
 (0.279597+0.000000j)  (36.545244-0.000000j)  (-26.334427-0.000000j)  (38.098822+0.000000j)
 (0.282049+0.000000j)  (36.592328-0.000000j)  (-26.341809-0.000000j)  (38.128721+0.000000j)
 (0.284502+0.000000j)  (36.639248-0.000000j)  (-26.349086+0.000000j)  (38.158492+0.000000j)
 (0.286955+0.000000j)  (36.686005-0.000000j)  (-26.356258-0.000000j)  (38.188137+0.000000j)
