 (0.018806+0.000000j)  (-2235.775424+0.000000j)  (2696.603855+0.000000j)  (127643.295096-0.000000j)
 (0.020060+0.000000j)  (1811.016508-4339.751249j)  (4441.334694-1853.514681j)  (-1271.226509-1935.439055j)
 (0.021314+0.000000j)  (3968.153414+2670.414058j)  (6109.987704+4163.822896j)  (955.024007-1408.734881j)
 (0.022567+0.000000j)  (-1991.409385+3250.306891j)  (-884.924025+6403.713624j)  (202.714678+184.199568j)
 (0.023821+0.000000j)  (-1870.421084-159.611475j)  (-2598.502286+252.113444j)  (-229.340160-1391.774847j)
 (0.025075+0.000000j)  (-1364.341704-7.455223j)  (1915.987272+786.165240j)  (1788.029922-1021.491275j)
 (0.026329+0.000000j)  (-1249.571991-1374.185865j)  (-1256.179790+3830.967116j)  (1668.112089+55.036301j)
 (0.027582+0.000000j)  (214.188282-850.621027j)  (-2847.283761-568.414731j)  (2979.871638+1189.857281j)
 (0.028836+0.000000j)  (-742.212066-586.276355j)  (793.021305-104.113447j)  (355.607248+4788.738746j)
 (0.030090+0.000000j)  (82.372675-1723.646792j)  (-2199.980876+1623.352948j)  (-2872.562267+1316.720039j)
 (0.031344+0.000000j)  (745.006578-1133.994981j)  (-2035.842354-3435.314082j)  (494.916556+3113.865422j)
 (0.032597+0.000000j)  (1947.719129-1708.084727j)  (3756.695629-2064.933759j)  (-10748.782661+5622.116732j)
 (0.033851+0.000000j)  (3956.475989+2089.883519j)  (1957.207926+3124.250219j)  (-11842.465908-16638.439292j)
 (0.035105+0.000000j)  (-2187.979152+4789.255857j)  (-2062.035630+1509.547423j)  (18861.265071-15539.826008j)
 (0.036359+0.000000j)  (-4247.400881-2700.199912j)  (-948.972497-1725.163853j)  (14449.954359+17813.784427j)
 (0.037612+0.000000j)  (3332.649172-3073.928726j)  (2366.481120-1118.034123j)  (-15012.550176+9304.656846j)
 (0.038866+0.000000j)  (1914.803456+3426.019198j)  (1972.514610+2988.352921j)  (-3025.842838-11550.435869j)
 (0.040120+0.000000j)  (-2664.238508+1068.659286j)  (-2923.399463+2353.551293j)  (7675.538454+1378.687392j)
 (0.041374+0.000000j)  (-595.533316-1285.218931j)  (-1694.547380-2597.564646j)  (-2499.731336+3368.830313j)
 (0.042627+0.000000j)  (-109.806783-437.444523j)  (2242.424175-796.854635j)  (974.558709-922.571101j)
 (0.043881+0.000000j)  (470.827613-905.005904j)  (350.563204+1277.263889j)  (-1502.576230+4296.393975j)
 (0.045135+0.000000j)  (766.358337+598.336147j)  (368.689890-17.764723j)  (-5278.493362-3076.263258j)
 (0.046389+0.000000j)  (-780.995878-131.059890j)  (695.526335+1472.475864j)  (3382.559019-3362.514632j)
 (0.047642+0.000000j)  (1203.233045-938.059160j)  (-896.447866+1165.301969j)  (-364.345231+3209.049447j)
 (0.048896+0.000000j)  (883.659077+1823.538065j)  (-896.458352+1092.756047j)  (-3329.266920-3509.928755j)
 (0.050150+0.000000j)  (-1733.101511+431.017795j)  (-3415.919131-321.456279j)  (4075.810579-3658.519088j)
 (0.051404+0.000000j)  (393.339566-1163.008803j)  (209.031611-5303.178069j)  (3655.844064+1860.209990j)
 (0.052657+0.000000j)  (602.900536+1284.032171j)  (6294.181192+723.360485j)  (1737.802225+3153.740387j)
 (0.053911+0.000000j)  (-1805.598344+377.895014j)  (-1596.164252+5987.985101j)  (-2400.079040+4961.569043j)
 (0.055165+0.000000j)  (-507.934771-1711.622397j)  (-4491.611577-2541.364975j)  (-6514.651519-1572.863273j)
 (0.056419+0.000000j)  (1097.831418-758.482253j)  (3058.378043-2611.618432j)  (738.588957-5758.670966j)
 (0.057672+0.000000j)  (863.628772+299.800323j)  (1045.191411+2444.284608j)  (2994.039835+227.994095j)
