"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.142223010E-1,-6.039307266E-2,3.879290819E-2,0.000000000E0,7.177891718E-2
1.191275100E-1,-3.754428029E-2,1.350724697E-2,-1.741218567E-2,4.353392830E-2
1.240327180E-1,-3.882224485E-2,2.560353279E-2,-4.230308533E-2,6.286699146E-2
1.289379260E-1,-3.589054942E-2,3.262150288E-2,-1.696395874E-2,5.138161037E-2
1.338431350E-1,-2.884108946E-2,1.260697842E-2,-6.870269775E-3,3.221715308E-2
1.387457390E-1,-2.692119405E-2,2.929329872E-3,-1.983070374E-2,3.356469087E-2
1.436530310E-1,-2.520368621E-2,-1.640558243E-3,-2.758026123E-2,3.739770099E-2
1.485693850E-1,-1.922718436E-2,1.212716103E-2,-3.048038483E-2,3.802376246E-2
1.534986030E-1,-4.604734480E-3,7.082819939E-3,-2.880191803E-2,3.001533608E-2
1.584438640E-1,-4.321798682E-3,2.374529839E-3,-8.869171143E-5,4.931957220E-3
1.634075620E-1,-4.123799503E-3,2.556204796E-3,8.982658386E-3,1.020921432E-2
1.683912600E-1,-1.306641474E-2,-1.872658730E-3,2.676963806E-2,2.984713666E-2
1.733956350E-1,-3.383412957E-3,2.987861633E-3,2.096080780E-2,2.144132141E-2
1.784205310E-1,1.335766166E-3,-1.515984535E-3,2.918910980E-2,2.925895780E-2
1.834649580E-1,-7.955916226E-3,3.443717957E-3,4.170799255E-2,4.259944177E-2
1.885271970E-1,-7.645919919E-3,3.564953804E-3,4.001331329E-2,4.089296061E-2
1.936048530E-1,-1.200972870E-2,-1.928269863E-2,2.923393250E-2,3.702268033E-2
1.986950620E-1,-1.618955284E-2,-2.752912045E-2,1.890277863E-2,3.711157681E-2
2.037945410E-1,-1.561972499E-2,-3.100311756E-2,4.359245300E-3,3.498817124E-2
2.088945410E-1,-2.428505942E-2,-3.896915913E-2,4.186630249E-3,4.610734591E-2
2.139945410E-1,-4.194279015E-2,-3.282994032E-2,4.024505615E-3,5.341534679E-2
2.190804780E-1,-2.669641003E-2,-3.161054850E-2,-1.465797424E-2,4.389511697E-2
2.241014160E-1,-2.122655511E-2,-3.505271673E-2,-2.349853516E-2,4.723812810E-2
2.291223530E-1,-1.594837382E-2,-2.459567785E-2,-3.208446503E-2,4.345930157E-2
2.341432910E-1,-3.876568004E-2,-3.311002254E-2,-3.114604950E-2,5.974217892E-2
2.391641760E-1,-3.312113136E-2,-1.344913244E-2,-1.166057587E-2,3.760129699E-2
2.441850620E-1,-3.692063689E-2,-1.296681166E-2,-2.037048340E-3,3.918445099E-2
2.492059470E-1,-4.069140553E-2,-7.899403572E-3,-6.646156311E-3,4.198050089E-2
2.542268330E-1,-3.046134859E-2,-1.695811749E-2,2.847671509E-3,3.497971898E-2
2.592477180E-1,-3.445571288E-2,-7.235348225E-3,2.779006958E-3,3.531669993E-2
2.642686030E-1,-2.909140661E-2,-2.378165722E-3,1.204681396E-2,3.157675312E-2
2.692894890E-1,-2.854256332E-2,2.409577370E-3,2.109050751E-2,3.557096415E-2
2.743103740E-1,-2.802896872E-2,-7.039725780E-3,2.059268951E-2,3.548576740E-2
2.793312600E-1,-1.351209171E-2,-6.970047951E-3,1.076984406E-2,1.863190092E-2
