t,x,y,z
0.025038,0.128142,0.313251,9.66784
0.0262899,0.129022,0.306405,9.67199
0.0275418,0.14098,0.308796,9.6983
0.0287937,0.148618,0.311187,9.72622
0.0300456,0.141452,0.313576,9.75965
0.0312975,0.131653,0.317545,9.79466
0.0325494,0.112572,0.327085,9.83521
0.0338013,0.0950223,0.332048,9.87117
0.0350532,0.0831142,0.32014,9.89022
0.0363051,0.0721745,0.31113,9.90927
0.037557,0.0650399,0.313508,9.9283
0.0388089,0.0574575,0.314986,9.94552
0.0400608,0.0479578,0.312611,9.95502
0.0413127,0.0396922,0.311469,9.96451
0.0425646,0.0373202,0.316213,9.974
0.0438165,0.037144,0.320224,9.97946
0.0450684,0.0489913,0.320224,9.96288
0.0463203,0.0598888,0.319276,9.94503
0.0475722,0.0646236,0.312174,9.91899
0.0488241,0.0711948,0.30481,9.89269
0.050076,0.092488,0.295346,9.86429
0.0513279,0.113369,0.286911,9.83611
0.0525798,0.129923,0.289276,9.8101
0.0538317,0.146036,0.291347,9.78452
0.0550836,0.155495,0.288982,9.76561
0.0563355,0.164601,0.286794,9.74731
0.0575874,0.164601,0.289162,9.74494
0.0588393,0.164676,0.291569,9.74264
0.0600912,0.169434,0.296327,9.74502
0.0613431,0.174185,0.301078,9.74741
0.0625951,0.176564,0.303457,9.75455
0.063847,0.178943,0.305836,9.76169
0.0650989,0.169543,0.310571,9.76647
0.0663508,0.160026,0.315329,9.77123
0.0676027,0.15051,0.310785,9.77599
0.0688546,0.140994,0.306026,9.78075
0.0701065,0.129182,0.308155,9.80157
0.0713584,0.117286,0.310534,9.82298
0.0726103,0.107656,0.312913,9.83534
0.0738622,0.0981387,0.315292,9.84723
0.0751141,0.0997992,0.315436,9.83677
0.076366,0.102178,0.315436,9.82488
0.0776179,0.102352,0.317642,9.8218
0.0788698,0.102352,0.320021,9.81942
0.0801217,0.102352,0.3224,9.81052
0.0813736,0.102352,0.324779,9.801
0.0826255,0.108788,0.325013,9.79148
0.0838774,0.115926,0.325013,9.78197
0.0851293,0.118833,0.329244,9.76822
0.0863812,0.121212,0.334002,9.75395
0.0876331,0.119421,0.336675,9.73759
