t,x,y,z
0.0784833,-0.0602116,-0.164074,0.0641205
0.0809359,-0.0662207,-0.140718,0.0379423
0.0833885,-0.0730664,-0.116223,0.0138797
0.0858411,-0.0763406,-0.0899422,-0.00684222
0.0882937,-0.0788507,-0.0632791,-0.0268494
0.0907463,-0.0763396,-0.029072,-0.0476366
0.093199,-0.0727541,0.00674927,-0.0685907
0.0956516,-0.0661912,0.00774536,-0.112529
0.0981042,-0.0589912,0.00129056,-0.161385
0.100557,-0.0506552,-0.00444102,-0.196993
0.103009,-0.0420762,-0.0100179,-0.229768
0.105462,-0.0303327,-0.00561186,-0.252073
0.107915,-0.0179122,0.000929994,-0.272138
0.110367,-0.00241161,0.00761563,-0.258315
0.11282,0.0137561,0.0143324,-0.237152
0.115272,0.00896604,0.0119408,-0.209883
0.117725,-0.000529018,0.00750441,-0.181245
0.120178,-0.00604161,-0.00551955,-0.144956
0.12263,-0.0105975,-0.0206065,-0.10683
0.125083,-0.0114974,-0.0313379,-0.063241
0.127535,-0.0114233,-0.0409089,-0.0181968
0.129988,-0.0149003,-0.0500448,0.023406
0.132441,-0.019464,-0.0590476,0.0639555
0.134893,-0.018942,-0.0645,0.0965638
0.137346,-0.0165752,-0.0686646,0.126292
0.139798,-0.0111699,-0.0729079,0.150517
0.142251,-0.00442327,-0.077186,0.172313
0.144704,-0.00210518,-0.0786373,0.190726
0.147156,-0.00221848,-0.0785368,0.207281
0.149609,-0.00357386,-0.0813171,0.218285
0.152061,-0.00579386,-0.0861029,0.225423
0.154514,-0.0102923,-0.0910282,0.231339
0.156967,-0.0168397,-0.096079,0.236155
0.159419,-0.0212213,-0.0992254,0.236902
0.161872,-0.0230322,-0.100112,0.232819
0.164324,-0.0248038,-0.0994531,0.225449
0.166777,-0.0265121,-0.0963059,0.212784
0.16923,-0.0261776,-0.0905657,0.196895
0.171682,-0.0211873,-0.0789157,0.173658
0.174135,-0.0172411,-0.0688902,0.148098
0.176587,-0.0168808,-0.0644428,0.114557
0.17904,-0.0152075,-0.0596973,0.0808342
0.181493,-0.00586188,-0.0532095,0.046045
0.183945,0.00297302,-0.0468877,0.0123058
0.186398,0.00538875,-0.0426532,-0.00823556
0.188851,0.00749979,-0.0382959,-0.0287008
0.191303,-0.00150279,-0.0294628,-0.0463914
0.193756,-0.0105054,-0.0206297,-0.064082
0.196208,-0.00595018,-0.0095339,-0.0813262
0.198661,-0.00111359,0.00160882,-0.0985612
0.201114,-0.00497879,3.60372e-05,-0.10693
0.203566,-0.00947237,-0.00245496,-0.114658
0.206019,-0.0139284,0.00343498,-0.110167
0.208471,-0.0183796,0.0104072,-0.104099
0.210924,-0.0228197,0.0155898,-0.102041
0.213377,-0.0272576,0.0204281,-0.100754
