t,x,y,z
0.027259,4573.5,3813.96,9146.12
0.0297689,-6086.07,-0.978927,2269.67
0.0322822,-3786.82,2272.95,2259.03
0.0347993,2276.2,-6806.69,-6820.93
0.03732,1512.71,4527.22,-8.73321
0.0398441,-748.499,-1504.17,-3014.5
0.0423713,2252.87,2250.08,-3.71174
0.0449013,4489.48,-1497.83,-8232.45
0.0474334,-2243.69,-2240.46,-2982.76
0.0499671,5220.14,-744.448,-740.64
0.0525019,-1493.27,3727.52,748.931
0.0550371,-2235.89,-1490.15,2236.38
0.0575678,-2985.45,1494.08,5223.17
0.0600876,1508.31,757.38,1505.08
0.0626072,-754.154,-754.156,1508.47
0.0651269,-3771.1,754.219,-754.217
0.0676466,0.00355996,-3016.87,-0.00075617
0.0701663,-754.221,2262.65,5279.53
0.0726859,754.127,0.0308178,-3016.84
0.0752055,3771.4,-754.28,-7542.81
0.0777251,-754.281,754.281,3017.12
0.0802446,0,0.00441055,-2262.84
0.0827643,2262.75,-754.269,0.0610684
0.085284,-1508.48,1508.44,-1508.37
0.0878037,-1508.39,-754.218,-754.092
0.0903235,0.0167448,-2262.48,4525.04
0.0928433,3770.64,2262.41,0.0152633
0.0953632,-6033,-754.125,2262.37
0.097883,4524.75,2262.37,754.124
0.100403,-2262.38,-2262.37,754.124
0.102923,0.0008819,-1508.25,-1508.25
0.105443,-2262.38,3016.5,1508.25
0.107962,754.126,0.0046932,1508.25
0.110482,-1508.25,-1508.25,-1508.25
0.113002,3770.63,2262.38,-3770.62
0.115522,1508.25,-3016.5,-754.124
0.118042,-3016.5,-3770.63,3016.5
0.120562,3016.5,6033,-0.00015749
0.123081,-754.124,-2262.37,-3770.62
0.125601,1508.25,2262.38,-3016.5
0.128121,-1508.28,-1508.32,3770.72
0.130641,-3017.19,-3017.25,1508.5
0.13316,2262.94,2262.94,-2262.94
0.135679,0,1508.76,2263.08
0.138199,0,-3017.63,3017.62
0.140718,1508.81,754.41,1508.81
0.143238,-2263.22,3772.03,-5280.84
0.145757,-754.358,-3017.55,-2263.11
0.148277,4526.09,1508.71,3017.43
0.150796,-2263,-1508.65,0
0.153316,-1508.58,-754.26,0
0.155835,2262.77,3017.03,-754.249
0.158355,-754.251,-4525.34,0.0154237
0.160875,-754.203,2262.62,754.202
0.163394,754.157,3016.64,754.156
0.165914,-2262.39,-4524.79,-0.0157044
0.168434,3770.5,754.135,-754.109
0.170954,-3016.3,2262.23,-754.062
0.173474,2262.11,-2262.12,0.0157172
0.175994,-3016.03,0.03581,-753.985
0.178514,3015.91,2261.94,2261.94
0.181034,-3015.78,-3015.77,-753.953
0.183555,0.0317005,5277.39,0
0.186075,2261.66,-1507.81,753.876
0.188595,-1507.7,-753.88,1507.67
0.191116,-753.847,-753.844,-3015.38
0.193636,3769.22,-753.844,753.844
0.196156,-1507.69,5276.91,0
0.198677,-3769.22,-5276.91,-753.844
0.201197,5276.92,-1507.69,3015.38
0.203717,-3769.22,3015.38,-3769.22
0.206237,-0.000596641,-1507.69,6030.75
0.208758,-0.155568,753.922,-5277.53
0.211277,3017.4,1508.93,-0.233978
0.213796,0,-754.468,754.468
0.216315,-1508.94,-3772.34,-2263.4
0.218835,754.469,3772.34,1508.94
0.221354,-2263.41,2263.4,2263.4
0.223873,3017.87,-1508.93,-2263.4
0.226392,-2263.34,-1508.91,1508.89
0.228912,1508.83,2263.22,3017.61
0.231431,754.312,-3017.47,-11315.3
0.233951,-1508.62,0.0314506,9051.67
0.236471,-3016.88,3016.9,754.157
0.23899,3771,-754.23,-4525.17
0.24151,-1508.33,-1508.35,2262.51
0.24403,2262.39,3016.5,-1508.25
0.24655,-754.127,-1508.24,5278.68
0.24907,-1508.14,-2262.23,-3770.39
